root_id,betweenness,rank,primary_type,nt_type,super_class,class,sub_class,nerve,neuropil,neuropil_frac
720575940637218672,0.0007192834004976,1,AN_GNG_89,unknown,ascending,AN,AN_GNG,CV,GNG,0.9801849405548216
720575940624319124,0.0006851475300781,2,DNg62,ACH,descending,,,CV,GNG,0.9880715705765408
720575940620746478,0.000669648029112,3,PS100,unknown,central,,,,GNG,0.5087633408401058
720575940638907108,0.0006415086334612,4,AN_GNG_89,unknown,ascending,AN,AN_GNG,CV,GNG,0.9995964487489912
720575940644473760,0.0005640818033107,5,DNg84,ACH,descending,,,CV,GNG,0.9399306892568348
720575940631982952,0.0005451681716513,6,DNge132,ACH,descending,,,CV,GNG,0.7567436208991495
720575940608545219,0.0004995612570233,7,AVLP080,GABA,central,,,,AVLP_R,0.7668968121257889
720575940629766266,0.0004732430935098,8,CB0021,GABA,central,,,,VES_L,0.1969186326432354
720575940613838289,0.000449811718847,9,DNge132,ACH,descending,,,CV,GNG,0.7486570540005655
720575940628446010,0.0004485613206631,10,CB0021,GABA,central,,,,VES_R,0.2324167872648335
720575940616185531,0.0004294084823946,11,DNg62,ACH,descending,,,CV,GNG,0.9843114468332363
720575940627796298,0.0004036230972378,12,AVLP080,GABA,central,,,,AVLP_L,0.612457379444715
720575940620873793,0.0004007363083872,13,CB0574,ACH,central,,,,SPS_R,0.4431402732345584
720575940623338281,0.0003865687533126,14,DNg98,GABA,descending,,,CV,GNG,0.7176659774867907
720575940630085583,0.0003753532252547,15,DNa03,ACH,descending,,,CV,LAL_R,0.5709285187914517
720575940639152361,0.0003571191578257,16,DNg84,ACH,descending,,,CV,GNG,0.930741190765492
720575940647075619,0.0003433647778032,17,CB0109,GABA,central,,,,GNG,0.8997517070142769
720575940614087219,0.0003409509656569,18,CB0534,GABA,central,,,,GNG,0.4043219542749765
720575940625871408,0.0003383088199293,19,CB0109,GABA,central,,,,GNG,0.8885023482344756
720575940635967886,0.0003302029777895,20,AVLP340,ACH,central,,,,AVLP_R,0.795774647887324
720575940626663953,0.0003245000747683,21,AVLP340,ACH,central,,,,AVLP_L,0.6916010498687664
720575940626555440,0.0002863629301604,22,CB0478,ACH,central,,,,SAD,0.3280708509819022
720575940640978048,0.0002815461788956,23,DNg100,ACH,descending,,,CV,GNG,0.6306010928961748
720575940618574749,0.0002784229016929,24,DNg35,ACH,descending,,,CV,GNG,0.934225621414914
720575940620918789,0.000272157319489,25,DNa03,ACH,descending,,,CV,LAL_L,0.581495993917773
720575940631340815,0.0002595446073735,26,CB3892b,GABA,central,,,,GNG,0.8364356911252552
720575940630164992,0.0002468693753487,27,CB0443,GABA,central,,,,GNG,0.7071145499150783
720575940625454162,0.0002410387142522,28,AN_GNG_SAD_2,ACH,ascending,AN,AN_GNG_SAD,CV,GNG,0.865847140566542
720575940620763584,0.0002378474806265,29,PVLP115,ACH,central,,,,GNG,0.340267133785855
720575940624538599,0.0002361839073905,30,CB0442,GABA,central,,,,GNG,0.3922714420358152
720575940632804435,0.0002325577526573,31,VES005,ACH,central,,,,VES_L,0.4454221165279429
720575940617432065,0.0002273849097358,32,DNge027,ACH,descending,,,CV,GNG,0.99523241954708
720575940615723314,0.0002255935784246,33,PVLP076,ACH,central,,,,AVLP_R,0.4493751593981127
720575940614909506,0.0002249683793327,34,DNge123,GLUT,descending,,,CV,GNG,0.6929902395740906
720575940621319156,0.0002120267581297,35,DNge027,ACH,descending,,,CV,GNG,0.9943548387096774
720575940627493148,0.0002048804606832,36,PS124,ACH,central,,,,IPS_L,0.3357456707159473
720575940643112333,0.0002041791503974,37,CB0676,ACH,central,,,,SPS_R,0.4963432471964895
720575940633308371,0.000203711610207,38,PS100,unknown,central,,,,GNG,0.4789665900175842
720575940625223944,0.0002031462127673,39,CB0443,GABA,central,,,,GNG,0.6987060998151571
720575940623276168,0.0002031462127673,40,DNp35,ACH,descending,,,CV,AVLP_R,0.3355635130041463
720575940623702345,0.0002023198626632,41,CB0677,GABA,central,,,,VES_R,0.1761904761904762
720575940641480949,0.0002001343840983,42,DNg16,ACH,descending,,,CV,GNG,0.9429516329061596
720575940611638258,0.0001985143029731,43,LAL073,GLUT,central,,,,LAL_L,0.4908079101659545
720575940633293025,0.000195198029529,44,DNge065,GABA,descending,,,CV,GNG,1.0
720575940626295396,0.0001950294975999,45,DNg85,ACH,descending,,,CV,GNG,1.0
720575940637464691,0.0001930723526164,46,AN_AVLP_GNG_17,ACH,ascending,AN,AN_AVLP_GNG,CV,GNG,0.5386238919375264
720575940618344606,0.0001918437004879,47,AN_multi_62,ACH,ascending,AN,AN_multi,CV,PVLP_L,0.3337151584574265
720575940624163303,0.0001914359619497,48,CB3916,GABA,central,,,,GNG,0.3385687143761874
720575940632722515,0.0001900007222952,49,CB0676,ACH,central,,,,IPS_L,0.4650521756251231
720575940619636615,0.0001870595683062,50,PS124,ACH,central,,,,IPS_R,0.4140872532293443
