root_id,betweenness,rank,primary_type,nt_type,super_class,class,sub_class,nerve,neuropil,neuropil_frac
720575940635945919,0.0008858998077142,1,v2LN30,unknown,central,ALLN,,,AL_L,1.0
720575940618757666,0.00055783929021,2,lLN2T_c,SER,central,ALLN,,,AL_L,0.9970593177617209
720575940614956072,0.0005251471345659,3,v2LN30,unknown,central,ALLN,,,AL_R,1.0
720575940613590501,0.0004394668019999,4,lLN2T_c,SER,central,ALLN,,,AL_L,0.998887557761424
720575940632403986,0.0004345798644133,5,il3LN6,unknown,central,ALLN,,,AL_R,0.5247158755751308
720575940615189465,0.0004058939380916,6,MZ_lv2PN,GABA,central,ALPN,multiglomerular,,AL_R,0.3199786324786324
720575940638288447,0.000386703768544,7,MZ_lv2PN,GABA,central,ALPN,multiglomerular,,AL_L,0.3222826086956522
720575940634773951,0.0003322985121592,8,AL-AST1,ACH,central,ALON,,,AL_L,0.3294851794071763
720575940646576436,0.0003049104717007,9,lLN2T_c,SER,central,ALLN,,,AL_R,1.0
720575940631321704,0.0003033477111716,10,AL-AST1,ACH,central,ALON,,,VES_R,0.3621997471554993
720575940622726271,0.0002462142457276,11,DP1m_adPN,ACH,central,ALPN,uniglomerular,,AL_R,0.4615456557658135
720575940623636701,0.0002364006393544,12,il3LN6,unknown,central,ALLN,,,AL_L,0.5760690962713293
720575940618308825,0.0001929611941397,13,DP1m_adPN,ACH,central,ALPN,uniglomerular,,AL_L,0.4746957277694982
720575940623203805,0.0001795717797763,14,VESa1_P02,GABA,central,,,,AVLP_R,0.525992961287079
720575940612840982,0.0001573885265035,15,VESa1_P02,GABA,central,,,,AVLP_L,0.4085724161769789
720575940632795532,0.0001567130961054,16,lLN2F_b,GABA,central,ALLN,,,AL_L,0.996793388429752
720575940617853986,0.0001489919995931,17,LHPV10b1,ACH,central,,,,LH_R,0.4897790625645261
720575940613804259,0.0001465551526664,18,lLN2T_c,SER,central,ALLN,,,AL_R,0.9997284822155852
720575940628455942,0.0001223323644659,19,CRE011,ACH,central,,,,SMP_R,0.3301646954791644
720575940623862015,0.0001191406247413,20,VES079,ACH,central,,,,VES_R,0.4606334841628959
720575940628210887,0.0001184254631432,21,LHPV10b1,ACH,central,,,,LH_L,0.4106745737583395
720575940630770042,0.0001091548498352,22,DM1_lPN,ACH,central,ALPN,uniglomerular,,AL_L,0.4134574031356297
720575940623000858,0.0001034600445174,23,lLN2F_b,GABA,central,ALLN,,,AL_L,0.995001198342863
720575940628695043,0.0001003874983925,24,CRE011,ACH,central,,,,SMP_L,0.3166396479851783
720575940623322921,9.740765840067882e-05,25,CB0448,ACH,central,,,,GNG,0.4051505259339862
720575940628023685,9.477215547454216e-05,26,ALBN1,GLUT,central,ALLN,,,AL_L,0.5223802001053186
720575940621039952,9.203070268202816e-05,27,LHPD5c1,GLUT,central,,,,LH_R,0.7958303378864127
720575940615166111,9.091822908506597e-05,28,LHPV10d1,ACH,central,,,,SMP_R,0.3833124215809285
720575940626535973,8.754107709428783e-05,29,PLP096,ACH,central,,,,VES_R,0.3576656394453004
720575940630407388,8.628292243105676e-05,30,lLN2T_b,unknown,central,ALLN,,,AL_R,0.9974690663667042
720575940637056887,8.493206163474552e-05,31,DC1_adPN,ACH,central,ALPN,uniglomerular,,AL_L,0.4137550331211845
720575940635362460,8.283955177379279e-05,32,LHAV2k8,ACH,central,,,,LH_L,0.717948717948718
720575940611079236,8.050865471349103e-05,33,VA2_adPN,ACH,central,ALPN,uniglomerular,,AL_L,0.3880568957954759
720575940628789525,7.844263231913265e-05,34,PLP096,ACH,central,,,,VES_L,0.386435001046682
720575940640971995,7.787315178735438e-05,35,VM4_adPN,ACH,central,ALPN,uniglomerular,,AL_L,0.4690831556503198
720575940623983859,7.678716565698651e-05,36,VES013,ACH,central,,,,VES_L,0.2928399034593725
720575940612003441,7.321135766675085e-05,37,LHPD5c1,GLUT,central,,,,LH_L,0.8475042301184433
720575940615723314,7.257565846848673e-05,38,PVLP076,ACH,central,,,,AVLP_R,0.4493751593981127
720575940648669060,6.558296728758144e-05,39,AL-MBDL1,unknown,central,ALIN,,,AL_R,0.42796410014171
720575940628352850,6.556972355428427e-05,40,DNb05,ACH,descending,,,CV,PLP_L,0.2638912634638399
720575940628586283,6.549026115450126e-05,41,CB0196,GABA,central,,,,PLP_L,0.2729083665338645
720575940609282825,6.396723182532682e-05,42,lLN2F_b,GABA,central,ALLN,,,AL_R,0.998776095394622
720575940617205179,6.102712303335527e-05,43,lLN2P_c,GABA,central,ALLN,,,AL_L,1.0
720575940603464672,5.9596799837261e-05,44,VL2a_adPN,ACH,central,ALPN,uniglomerular,,AL_R,0.3992180019150974
720575940636873791,5.874920090624218e-05,45,VA6_adPN,ACH,central,ALPN,uniglomerular,,AL_L,0.3905649578938762
720575940632698797,5.859027610667615e-05,46,VM6_adPN,ACH,central,ALPN,uniglomerular,,AL_R,0.4459011086833374
720575940629461442,5.749104624301112e-05,47,DNb05,ACH,descending,,,CV,SPS_R,0.307367613200307
720575940620642940,5.727914651025641e-05,48,DNpe002,ACH,descending,,,CV,GNG,0.4319448999672023
720575940619071005,5.672290971177531e-05,49,DM1_lPN,ACH,central,ALPN,uniglomerular,,AL_R,0.3619406737053796
720575940637594334,5.588855451405365e-05,50,VA6_adPN,ACH,central,ALPN,uniglomerular,,AL_R,0.4192714274849798
