root_id,betweenness,rank,primary_type,nt_type,super_class,class,sub_class,nerve,neuropil,neuropil_frac
720575940634612194,8.166677707189998e-06,1,LPi15,GABA,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,LOP_R,1.0
720575940619991862,6.317427657678592e-06,2,LPi15,GABA,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,LOP_L,1.0
720575940629513222,5.9317683513909e-06,3,Am1,GABA,optic,optic_lobe_intrinsic,medulla_lobula_lobula_plate_amacrine,,LOP_L,0.725489677077819
720575940628307026,4.360685333435935e-06,4,Am1,GABA,optic,optic_lobe_intrinsic,medulla_lobula_lobula_plate_amacrine,,LOP_R,0.7579003954997504
720575940627190556,4.2841005066554e-06,5,LPi14,GABA,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,LOP_R,1.0
720575940628908548,3.24664962101766e-06,6,CT1,GABA,optic,optic_lobe_intrinsic,lobula_medulla_amacrine,,LO_L,0.7115776723528818
720575940626979621,3.0116983131445195e-06,7,CT1,GABA,optic,optic_lobe_intrinsic,lobula_medulla_amacrine,,LO_R,0.6803997007587902
720575940618554041,3.00458686494347e-06,8,Sm41,GABA,optic,optic_lobe_intrinsic,serpentine_medulla,,ME_R,1.0
720575940611563310,2.912411555568327e-06,9,Sm42,GABA,optic,optic_lobe_intrinsic,serpentine_medulla,,ME_R,0.9993285171806984
720575940622523508,2.8795894869480976e-06,10,Li31,GABA,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_L,0.9999014163188852
720575940643722440,2.874939693893565e-06,11,T5b,ACH,optic,optic_lobe_intrinsic,t5_neuron,,LOP_R,0.694078947368421
720575940640851363,2.874939693893565e-06,12,Li31,GABA,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_R,0.9894981318792284
720575940630006521,2.738181074642611e-06,13,LT62,ACH,visual_projection,,,,LO_R,0.6166805324459235
720575940615028143,2.638073765350912e-06,14,LT79,ACH,visual_projection,,,,LO_R,0.5800951625693894
720575940630733884,2.625765489618326e-06,15,PVLP015,GLUT,central,,,,AVLP_R,0.4100609756097561
720575940638900713,2.520187835556589e-06,16,PVLP011,GABA,central,,,,PVLP_R,0.627454332323923
720575940632427603,2.517999697648574e-06,17,H2,ACH,visual_projection,,,,LOP_R,0.893765932792584
720575940638049136,2.5007681116229537e-06,18,AVLP435a,ACH,central,,,,AVLP_R,0.9535524141729392
720575940619636615,2.493930180660406e-06,19,PS124,ACH,central,,,,IPS_R,0.4140872532293443
720575940630810306,2.218498321488984e-06,20,LPi14,GABA,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,LOP_L,1.0
720575940630502522,2.205916528517896e-06,21,LPT26,ACH,visual_projection,,,,LOP_R,0.8124255065554231
720575940620196929,2.198805080316846e-06,22,AVLP435a,ACH,central,,,,AVLP_L,0.8434323690383112
720575940624287821,2.1982580458398424e-06,23,PLP018,GABA,central,,,,PLP_R,0.4725433526011561
720575940624604710,2.1982580458398424e-06,24,WED075,GABA,central,,,,IPS_R,0.4757363253856942
720575940624973831,2.1627008048345943e-06,25,LT1d,ACH,visual_projection,,,,LO_R,0.629378369693291
720575940613783277,2.1348020465074e-06,26,LT79,ACH,visual_projection,,,,LO_L,0.6148546462779365
720575940605899692,2.1268700465908443e-06,27,LT1d,ACH,visual_projection,,,,LO_L,0.6856502242152467
720575940620723126,2.055208530103344e-06,28,AVLP479,GABA,central,,,,PVLP_L,0.5642471223866573
720575940634000979,1.9307581865849757e-06,29,PS047b,ACH,central,,,,IPS_L,0.6528375332923582
720575940626848275,1.9269289452459487e-06,30,AVLP077,GABA,central,,,,AVLP_R,0.5120337441071872
720575940626403917,1.910791428174336e-06,31,MeMe_e13,ACH,optic,bilateral,,,ME_L,0.4182414569666112
720575940629418199,1.89985073863426e-06,32,WED075,GABA,central,,,,IPS_L,0.514159848961611
720575940623401693,1.892465773194708e-06,33,LPT26,ACH,visual_projection,,,,LOP_L,0.6261980830670927
720575940608545219,1.8413180495948511e-06,34,AVLP080,GABA,central,,,,AVLP_R,0.7668968121257889
720575940627083397,1.8142398429831624e-06,35,PVLP150,ACH,central,,,,AVLP_R,0.4909616775126536
720575940625952755,1.7682889469148415e-06,36,Li33,GABA,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_L,0.9989170746180092
720575940609258850,1.764186188337313e-06,37,PVLP061,ACH,central,,,,AVLP_R,0.6069220299436127
720575940613686698,1.7507838436507193e-06,38,Sm41,GABA,optic,optic_lobe_intrinsic,serpentine_medulla,,ME_L,1.0
720575940633746515,1.7376550162026276e-06,39,PVLP015,GLUT,central,,,,PVLP_L,0.2948302746791412
720575940628592968,1.7321846714325896e-06,40,LT11,GABA,visual_projection,,,,LO_R,0.8246275970207761
720575940626818085,1.6665405341921311e-06,41,PVLP141,ACH,central,,,,AVLP_R,0.2753485853526465
720575940643315748,1.6350860517644118e-06,42,CB0486,GABA,central,,,,IPS_R,0.7421582166107713
720575940640736371,1.619222051931301e-06,43,Li30,ACH,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_R,1.0
720575940606354633,1.6156663278307762e-06,44,AVLP077,GABA,central,,,,AVLP_L,0.3581473018105115
720575940623953900,1.553304397452341e-06,45,PVLP150,ACH,central,,,,PVLP_L,0.6065697564659241
720575940623702345,1.547013500966797e-06,46,CB0677,GABA,central,,,,VES_R,0.1761904761904762
720575940627497244,1.5133708806310624e-06,47,Li33,GABA,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_R,0.9986839821831434
720575940627796298,1.508174053099526e-06,48,AVLP080,GABA,central,,,,AVLP_L,0.612457379444715
720575940623444044,1.4789077085798215e-06,49,Sm42,GABA,optic,optic_lobe_intrinsic,serpentine_medulla,,ME_L,0.9991726648465292
720575940633305681,1.478087156864316e-06,50,Li30,ACH,optic,optic_lobe_intrinsic,lobula_intrinsic,,LO_L,0.999925510254755
