modality,kind,band,size,label,detour_pct,cut_pairs,single_sum,best_single,superadd,z_vs_rankmatched,ctl_mean,ctl_degenerate,median_rank
olfactory,random,top200,1,top200,0.0,0,,,,,,,
olfactory,random,top200,1,top200,1.240151002797552,0,,,,,,,
olfactory,random,top200,1,top200,0.2048022519843357,0,,,,,,,
olfactory,random,top200,1,top200,0.8722406076236632,0,,,,,,,
olfactory,random,top200,1,top200,0.1507695986780289,0,,,,,,,
olfactory,random,top200,1,top200,0.0270783445813846,0,,,,,,,
olfactory,random,top200,1,top200,0.0564124710382217,0,,,,,,,
olfactory,random,top200,1,top200,0.08482110761686,0,,,,,,,
olfactory,random,top200,1,top200,0.029375783294369,0,,,,,,,
olfactory,random,top200,1,top200,0.0550740228099712,0,,,,,,,
olfactory,random,top200,2,top200,0.0418884786497655,0,,,,,,,
olfactory,random,top200,2,top200,0.0810732102510041,0,,,,,,,
olfactory,random,top200,2,top200,0.0334207075510602,0,,,,,,,
olfactory,random,top200,2,top200,0.0693624638408657,0,,,,,,,
olfactory,random,top200,2,top200,0.2510894796411396,0,,,,,,,
olfactory,random,top200,2,top200,0.2797039876025011,0,,,,,,,
olfactory,random,top200,2,top200,1.7806962860185944,0,,,,,,,
olfactory,random,top200,2,top200,0.0803734961271952,0,,,,,,,
olfactory,random,top200,2,top200,0.6953584498201377,0,,,,,,,
olfactory,random,top200,2,top200,0.1380185093510164,0,,,,,,,
olfactory,random,top200,4,top200,1.7447416331515002,0,,,,,,,
olfactory,random,top200,4,top200,0.5437006274424193,0,,,,,,,
olfactory,random,top200,4,top200,0.6423872240065194,0,,,,,,,
olfactory,random,top200,4,top200,0.1244577580101964,0,,,,,,,
olfactory,random,top200,4,top200,0.1806008645923377,0,,,,,,,
olfactory,random,top200,4,top200,0.1883123531064862,0,,,,,,,
olfactory,random,top200,4,top200,2.871041790465566,0,,,,,,,
olfactory,random,top200,4,top200,0.3812398323207159,0,,,,,,,
olfactory,random,top200,4,top200,0.2109698002185475,0,,,,,,,
olfactory,random,top200,4,top200,0.4612954468181433,0,,,,,,,
olfactory,random,top200,8,top200,1.9419454866356736,0,,,,,,,
olfactory,random,top200,8,top200,2.083905964697796,0,,,,,,,
olfactory,random,top200,8,top200,1.048351349101157,0,,,,,,,
olfactory,random,top200,8,top200,0.3324814183809865,0,,,,,,,
olfactory,random,top200,8,top200,1.56820171095871,0,,,,,,,
olfactory,random,top200,8,top200,2.18252706297325,0,,,,,,,
olfactory,random,top200,8,top200,0.645661062487008,0,,,,,,,
olfactory,random,top200,8,top200,2.375789203488737,0,,,,,,,
olfactory,random,top200,8,top200,2.1475338566169064,0,,,,,,,
olfactory,random,top200,8,top200,2.433753121746253,0,,,,,,,
olfactory,random,top200,16,top200,4.89894893624332,0,,,,,,,
olfactory,random,top200,16,top200,1.9336875926199948,0,,,,,,,
olfactory,random,top200,16,top200,2.4238945827527765,0,,,,,,,
olfactory,random,top200,16,top200,5.865700293757349,0,,,,,,,
olfactory,random,top200,16,top200,2.7617896288765644,0,,,,,,,
olfactory,random,top200,16,top200,5.026145313615269,0,,,,,,,
olfactory,random,top200,16,top200,2.9695640049495777,0,,,,,,,
olfactory,random,top200,16,top200,4.155159210655511,0,,,,,,,
olfactory,random,top200,16,top200,2.611816551024569,0,,,,,,,
olfactory,random,top200,16,top200,2.7254393925321327,0,,,,,,,
olfactory,random,top200,32,top200,7.381060786656708,0,,,,,,,
olfactory,random,top200,32,top200,6.718581453156357,0,,,,,,,
olfactory,random,top200,32,top200,7.013143806937493,0,,,,,,,
olfactory,random,top200,32,top200,5.8464667237656895,0,,,,,,,
olfactory,random,top200,32,top200,8.298483021924602,0,,,,,,,
olfactory,random,top200,32,top200,7.551219291310817,0,,,,,,,
olfactory,random,top200,32,top200,7.16581256482894,0,,,,,,,
olfactory,random,top200,32,top200,9.95105789248982,0,,,,,,,
olfactory,random,top200,32,top200,7.666927255294742,0,,,,,,,
olfactory,random,top200,32,top200,6.421008857154277,200,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,1,rank200_1000,0.0032086895214826,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0305071364489743,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0001519995197131,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,2,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0143258800032785,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0106762365003099,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0612694129973172,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0039033462091105,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0013295632671848,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0006725785553108,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,4,rank200_1000,0.0,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0036067139631137,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0036539289334588,113,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0105593897580897,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0116627657109986,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0044836388508415,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0189122186238797,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0033059928703201,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0029693916064769,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0646191783761141,0,,,,,,,
olfactory,random,rank200_1000,8,rank200_1000,0.0181687730129554,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0986733942109192,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.2073032820978681,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0246511597582495,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0057981585907136,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.1079798365536035,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0309754808383145,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0228734584530258,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0058347304817389,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.981011525723121,0,,,,,,,
olfactory,random,rank200_1000,16,rank200_1000,0.0501709233047901,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0627727671374561,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.1597529976058787,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0316604915326478,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.273533127122823,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0383438035125057,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.073259585091695,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0303865631388373,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.2512133090608722,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0299402716704312,0,,,,,,,
olfactory,random,rank200_1000,32,rank200_1000,0.0470695001356415,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,1,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,2,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
