modality,root_id,group,rank,detour_pct,cut_pairs,live_pairs,hops_from_sensory,hops_to_descending,z_vs_top50
olfactory,720575940615723314,candidate,38,0.3551381566136829,0,11300,2.0,1.0,-0.0464635518106154
olfactory,720575940623203805,top50,14,0.4530336126273459,0,11300,2.0,1.0,0.2404458453931999
olfactory,720575940603464672,top50,44,0.0077823059818025,0,11300,1.0,2.0,-1.0644848346993954
olfactory,720575940628352850,top50,40,0.5060677121248056,0,11200,2.0,0.0,0.3958767728096846
olfactory,720575940623862015,top50,20,0.1463812806968796,0,11300,2.0,1.0,-0.658282648123752
olfactory,720575940628210887,top50,21,0.1379091952093217,0,11300,2.0,2.0,-0.6831124108040052
olfactory,720575940635362460,top50,32,0.1109506591106905,0,11300,2.0,2.0,-0.7621217709573108
olfactory,720575940629461442,top50,47,0.1507695986780289,0,11200,2.0,0.0,-0.6454214825704245
olfactory,720575940618308825,top50,13,0.3374373947048663,0,11300,1.0,1.0,-0.0983404737445408
olfactory,720575940646576436,top50,9,0.2559717848571703,0,11300,1.0,1.0,-0.337097715050833
olfactory,720575940631321704,top50,10,0.7863283469878151,0,11300,2.0,1.0,1.217257182920672
olfactory,720575940638288447,top50,7,1.216676650268902,0,11300,1.0,1.0,2.478510537364712
olfactory,720575940623983859,top50,36,0.3425935324236666,0,11300,2.0,1.0,-0.0832290025380083
olfactory,720575940636624014,mid,1016,0.0,0,11300,3.0,2.0,-1.087293009961207
olfactory,720575940615802598,mid,1920,0.0,0,11300,2.0,2.0,-1.087293009961207
olfactory,720575940636364133,mid,1149,0.0,0,11300,2.0,3.0,-1.087293009961207
olfactory,720575940620750716,mid,1091,0.0,0,11300,2.0,2.0,-1.087293009961207
olfactory,720575940620440559,mid,1029,0.0,0,11300,2.0,3.0,-1.087293009961207
olfactory,720575940622289919,mid,1930,0.0,0,11187,0.0,2.0,-1.087293009961207
olfactory,720575940614327442,mid,1898,0.0,0,11300,2.0,2.0,-1.087293009961207
olfactory,720575940614053149,mid,1512,0.0,0,11300,2.0,2.0,-1.087293009961207
olfactory,720575940620303732,mid,1755,0.0,0,11300,2.0,2.0,-1.087293009961207
olfactory,720575940629917228,mid,1309,0.0,0,11300,2.0,3.0,-1.087293009961207
olfactory,720575940627915280,mid,1497,0.0,0,11300,2.0,3.0,-1.087293009961207
olfactory,720575940639314229,mid,1714,0.0,0,11200,2.0,0.0,-1.087293009961207
mechanosensory,720575940615723314,candidate,33,0.0301735020735739,0,111400,2.0,1.0,-0.7645192954662875
mechanosensory,720575940626555440,candidate,22,0.0509120745261219,0,111400,2.0,1.0,-0.7129810072096979
mechanosensory,720575940643112333,candidate,37,0.0577488647153947,0,111400,2.0,1.0,-0.6959906157866245
mechanosensory,720575940624163303,candidate,48,0.0499674076433627,0,111400,2.0,1.0,-0.7153286381385624
mechanosensory,720575940619636615,candidate,50,0.018426108921395,0,111400,2.0,1.0,-0.7937132303875936
mechanosensory,720575940627493148,top50,36,0.016781208553724,0,111400,2.0,1.0,-0.797801040650155
mechanosensory,720575940640978048,top50,23,0.0973656027366184,0,111300,2.0,0.0,-0.5975374137354507
mechanosensory,720575940620746478,top50,3,0.4050606577992914,0,111400,2.0,1.0,0.167128354809231
mechanosensory,720575940625454162,top50,28,0.5441139683423625,3342,111400,1.0,1.0,0.5126955156251304
mechanosensory,720575940626295396,top50,45,0.0225724567658955,2226,111300,1.0,0.0,-0.7834089690450681
mechanosensory,720575940624319124,top50,2,1.2813261754038965,0,111300,2.0,0.0,2.3447722085001823
mechanosensory,720575940613838289,top50,9,0.7799580403799473,0,111300,1.0,0.0,1.0988014202669651
