modality,primary_type,fafb_bw,mcns_bw,fafb_rank,mcns_rank,in_both_top
olfactory,5-HTPMPV03,0.0,0.0,1317,1895,False
olfactory,AL-AST1,2.6805316193470283e-05,2.111996592033857e-05,5,6,True
olfactory,AL-MBDL1,7.562171712683563e-06,2.4465642537316618e-08,17,283,False
olfactory,ALBN1,7.058909847391137e-06,2.128510900746546e-06,20,63,False
olfactory,ALIN1,0.0,0.0,1316,1035,False
olfactory,ALIN2,0.0,2.507728360074953e-06,1315,50,False
olfactory,ALIN3,0.0,0.0,743,1046,False
olfactory,ALIN4,0.0,0.0,1303,1037,False
olfactory,ALIN6,0.0,0.0,733,1039,False
olfactory,ALIN7,7.946239978301468e-08,1.149885199253881e-06,220,118,False
olfactory,ALIN8,0.0,0.0,1318,1040,False
olfactory,ALON1,0.0,1.7003621563435049e-06,742,86,False
olfactory,ALON2,0.0,0.0,741,1041,False
olfactory,ALON3,2.6487466594338224e-08,0.0,260,1042,False
olfactory,AOTU032,0.0,0.0,1296,1914,False
olfactory,AOTU065,0.0,0.0,1295,1917,False
olfactory,APL,2.105753594249889e-06,2.3242360410450786e-07,87,210,False
olfactory,ATL003,0.0,0.0,1294,1919,False
olfactory,ATL009,0.0,0.0,1335,1920,False
olfactory,ATL011,0.0,1.8288067796644168e-06,1348,78,False
olfactory,ATL017,0.0,0.0,1347,1933,False
olfactory,ATL032,0.0,0.0,1345,1929,False
olfactory,ATL038,0.0,0.0,1343,1930,False
olfactory,ATL042,0.0,0.0,1342,1883,False
olfactory,AVLP013,0.0,0.0,1339,1816,False
olfactory,AVLP014,0.0,0.0,1338,1817,False
olfactory,AVLP015,0.0,3.669846380597493e-08,1337,266,False
olfactory,AVLP017,7.681365312358085e-07,0.0,161,1818,False
olfactory,AVLP030,0.0,0.0,1336,1820,False
olfactory,AVLP041,0.0,0.0,1350,1833,False
olfactory,AVLP042,0.0,0.0,1334,1824,False
olfactory,AVLP053,2.132241060844227e-06,7.584349186568151e-07,86,178,False
olfactory,AVLP080,3.191739724617756e-06,1.8349231902987465e-07,59,214,False
olfactory,AVLP086,0.0,2.4465642537316618e-08,1331,287,False
olfactory,AVLP109,0.0,0.0,1329,1799,False
olfactory,AVLP120,0.0,0.0,1328,1802,False
olfactory,AVLP187,0.0,0.0,1327,1807,False
olfactory,AVLP189_b,0.0,0.0,1326,1809,False
olfactory,AVLP209,6.621866648584556e-08,3.669846380597493e-08,224,265,False
olfactory,AVLP243,0.0,0.0,1324,1811,False
olfactory,AVLP258,8.078677311273158e-07,2.4465642537316618e-08,156,285,False
olfactory,AVLP267,0.0,0.0,1323,1855,False
olfactory,AVLP288,0.0,0.0,1307,1860,False
olfactory,AVLP299_a,0.0,0.0,1263,1861,False
