arm,modality,primary_type,kind,characterized,evidence,verdict,source
control,mechanosensory,AL-AST1,named,not_found,,unresolved_by_this_screen,
control,mechanosensory,AN_GNG_70,named,not_found,,unresolved_by_this_screen,
control,mechanosensory,AN_multi_27,named,not_found,,unresolved_by_this_screen,
control,mechanosensory,AVLP533,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,CB0231,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,CB0898,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,CB3924,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,DNge070,named,not_found,,unresolved_by_this_screen,
control,mechanosensory,IB038,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,LAL167a,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,PLP093,named,not_found,,unresolved_by_this_screen,
control,mechanosensory,PS141,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,PS181,placeholder,placeholder_id,,uncharacterized_by_construction,
control,mechanosensory,PVLP020,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,AN_LH_AVLP_1,named,not_found,,unresolved_by_this_screen,
control,olfactory,AVLP014,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,CB0508,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,CB1824,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,CB2569,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,CB2889,placeholder,placeholder_id,,uncharacterized_by_construction,
control,olfactory,KCapbp-ap2,named,not_found,,unresolved_by_this_screen,
control,olfactory,LHPV5b3,named,not_found,,unresolved_by_this_screen,
control,olfactory,M_lvPNm25,named,not_found,,unresolved_by_this_screen,
control,olfactory,ORN_VM3,named,not_found,,unresolved_by_this_screen,
control,olfactory,ORN_VM6m,named,not_found,,unresolved_by_this_screen,
control,visual,LC4,named,yes,optogenetic activation -> escape; looming encoding,sufficient_for_behavior,https://www.cell.com/current-biology/fulltext/S0960-9822(19)30138-1
control,visual,Li01,named,not_found,,unresolved_by_this_screen,
control,visual,Li06,named,not_found,,unresolved_by_this_screen,
control,visual,MLt6,named,not_found,,unresolved_by_this_screen,
control,visual,MTe09,named,not_found,,unresolved_by_this_screen,
control,visual,Mi9,named,yes,input silencing -> loss of T4 direction selectivity,necessary_for_computation,https://www.cell.com/neuron/fulltext/S0896-6273(17)30193-9
control,visual,Sm15,named,not_found,,unresolved_by_this_screen,
control,visual,T2,named,not_found,,unresolved_by_this_screen,
control,visual,T4a,named,yes,blocking T4/T5 -> motion blind,necessary_for_behavior,https://www.cell.com/neuron/fulltext/S0896-6273(17)30193-9
control,visual,T4c,named,yes,blocking T4/T5 -> motion blind,necessary_for_behavior,https://www.cell.com/neuron/fulltext/S0896-6273(17)30193-9
control,visual,Tm20,named,not_found,,unresolved_by_this_screen,
control,visual,Tm5a,named,not_found,,unresolved_by_this_screen,
control,visual,TmY10,named,not_found,,unresolved_by_this_screen,
control,visual,TmY15,named,not_found,,unresolved_by_this_screen,
control,visual,TmY5a,named,not_found,,unresolved_by_this_screen,
control,visual,aMe26,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,AN_GNG_89,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,AVLP340,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,CB0021,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,CB0109,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,CB0478,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,CB0534,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,CB0574,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,mechanosensory,DNg100,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,DNg35,named,anatomy_only,morphology / connectivity only,no_functional_test_found,https://www.virtualflybrain.org/blog/2022/01/01/descending-neuron-of-the-gnathal-ganglion-dng35-fbbt_00047627/
validated,mechanosensory,DNg62,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,DNg84,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,DNg98,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,DNge132,named,not_found,,unresolved_by_this_screen,
validated,mechanosensory,PS100,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,olfactory,AL-AST1,named,not_found,,unresolved_by_this_screen,
validated,olfactory,CB0448,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,olfactory,CRE011,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,olfactory,DP1m_adPN,named,not_found,,unresolved_by_this_screen,
validated,olfactory,LHPV10b1,named,not_found,,unresolved_by_this_screen,
validated,olfactory,MZ_lv2PN,named,not_found,,unresolved_by_this_screen,
validated,olfactory,VES079,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,olfactory,VESa1_P02,named,not_found,,unresolved_by_this_screen,
validated,olfactory,il3LN6,named,not_found,,unresolved_by_this_screen,
validated,olfactory,lLN2T_c,named,yes,"population silencing (LN1/LN2, shibire)",no_effect_on_coding,https://www.nature.com/articles/s41598-017-08090-y
validated,olfactory,v2LN30,named,not_found,,unresolved_by_this_screen,
validated,visual,CB0415,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,CB0567,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,CB1350,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,CB3716,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,CB3916,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,DNp10,named,yes,optogenetic activation,sufficient_for_behavior,https://elifesciences.org/articles/34275
validated,visual,DNp19,named,not_found,,unresolved_by_this_screen,
validated,visual,DNp28,named,not_found,,unresolved_by_this_screen,
validated,visual,OA-AL2i1,named,not_found,,unresolved_by_this_screen,
validated,visual,OCG01b,named,not_found,,unresolved_by_this_screen,
validated,visual,OCG01d,named,not_found,,unresolved_by_this_screen,
validated,visual,OCG01e,named,not_found,,unresolved_by_this_screen,
validated,visual,PS124,placeholder,placeholder_id,,uncharacterized_by_construction,
validated,visual,Sm41,named,not_found,,unresolved_by_this_screen,
validated,visual,cM15,named,not_found,,unresolved_by_this_screen,
