root_id,influence,adjusted,super_class,class,betweenness,rank,hops
720575940600433181,1.1817007243773672,24.16695469265864,sensory,mechanosensory,0.0,5289,0
720575940600646173,1.5681536777333407,24.44989892588418,sensory,mechanosensory,0.0,9934,0
720575940602132509,1.574482160914551,24.453926431494473,sensory,mechanosensory,0.0,10146,0
720575940602337504,0.20435572461763932,22.41210694442407,ascending,AN,0.0,6075,2
720575940602353632,0.6108097348649153,23.507030232128123,sensory,gustatory,0.0,4989,2
720575940602380768,0.41690141800059244,23.125094507195527,central,unknown,1.4461126822092466e-06,1827,1
720575940602415584,0.35857687540763583,22.974387794352868,central,unknown,0.0,9310,2
720575940602430944,0.21818600177954608,22.477592639194615,ascending,AN,0.0,11173,2
720575940602506208,1.5603338070536394,24.44489977725177,sensory,mechanosensory,0.0,9920,0
720575940602618848,0.3485742720212765,22.946096047654613,central,unknown,0.0,9096,2
720575940602718432,0.33212272252484215,22.897749267791205,central,unknown,5.4365138428919045e-09,3181,2
720575940602879404,0.37538259302866006,23.020190474965354,central,unknown,1.199294953741954e-05,864,1
720575940602885344,0.08667955940860585,21.55446281470824,visual_centrifugal,unknown,0.0,12664,2
720575940602891232,0.1290507348525167,21.95245034149031,central,unknown,0.0,3265,2
720575940602914988,0.4067546519986834,23.100454904048984,central,unknown,0.0,8794,1
720575940602964140,0.20193464194103553,22.40018881131659,central,unknown,0.0,6332,2
720575940602974688,0.09620403481195203,21.65871601972217,central,unknown,0.0,10622,2
720575940603029472,1.0,24.0,sensory,mechanosensory,0.0,6391,0
720575940603032748,0.35524920183365855,22.965064241218894,central,unknown,0.0,13519,2
720575940603123936,0.036435941818978766,20.6878004210987,central,unknown,0.0,8779,2
720575940603183840,1.0,24.0,sensory,mechanosensory,0.0,12270,0
720575940603186790,0.3127799810323733,22.83774472838386,central,unknown,0.0,8932,2
720575940603195494,0.7804477200110124,23.752112476040622,central,unknown,9.96512987402086e-06,957,1
