root_id,super_class,class,bw_weighted,bw_unweighted,influence,in_syn,in_deg,out_syn,out_deg,total_syn,traversal,current_flow
720575940629561347,motor,brain_motor_neuron,0.0,0.0,23.752893499126422,1241.0,57.0,0.0,0.0,1241.0,-4.81,
720575940626415620,central,unknown,0.0,4.3211646742447834e-08,22.37699460433141,92.0,9.0,120.0,13.0,212.0,-5.67,
720575940607967241,central,unknown,0.0,1.4809572787796796e-07,22.097450692370423,125.0,12.0,406.0,28.0,531.0,-4.95,
720575940632510479,sensory,gustatory,0.0,6.224984908226294e-08,21.772944442693987,81.0,6.0,158.0,14.0,239.0,-6.92,
720575940626153488,central,unknown,7.556754241619747e-07,3.1062240495693822e-06,23.480420740407087,575.0,26.0,710.0,45.0,1285.0,-3.3,
720575940611047446,central,unknown,0.0,5.95909921043897e-08,20.62605613949038,930.0,57.0,798.0,49.0,1728.0,-6.35,
720575940644175895,central,unknown,0.0,3.2072797672448767e-08,22.931693966023065,279.0,23.0,499.0,51.0,778.0,-4.89,
720575940622188568,central,unknown,0.0,2.1859967399629782e-06,23.755378106086688,612.0,31.0,769.0,87.0,1381.0,-2.94,
720575940620451866,central,unknown,0.0,6.564106004727416e-09,22.82904935801136,136.0,15.0,126.0,10.0,262.0,-4.6,
720575940642308132,central,unknown,0.0,8.232888275877452e-09,19.63588825578937,200.0,14.0,600.0,38.0,800.0,-7.91,
720575940624547878,optic,optic_lobe_intrinsic,0.0,0.0,17.970568416254956,181.0,14.0,27.0,4.0,208.0,-8.11,
720575940613144616,central,unknown,0.0,5.715937216120277e-08,20.05714585533599,526.0,36.0,984.0,62.0,1510.0,-7.53,
720575940632477738,optic,optic_lobe_intrinsic,0.0,0.0,18.42786292610028,35.0,3.0,18.0,2.0,53.0,-7.89,
720575940629921835,ascending,AN,0.0,4.453734136908997e-08,22.118750295734017,20.0,3.0,124.0,12.0,144.0,-6.1,
720575940630478892,visual_centrifugal,unknown,0.0,0.0,21.61205124243656,396.0,24.0,95.0,10.0,491.0,-6.12,
720575940629823531,optic,optic_lobe_intrinsic,0.0,2.1319662128987865e-11,18.12836598632393,568.0,68.0,553.0,36.0,1121.0,-8.61,
720575940629102636,central,unknown,0.0,3.1269206822064745e-08,22.51871149299164,250.0,23.0,155.0,18.0,405.0,-6.22,
720575940614193202,central,unknown,0.0,2.6293064517633725e-08,23.243938395566705,74.0,10.0,140.0,7.0,214.0,-4.13,
720575940638933045,optic,optic_lobe_intrinsic,0.0,0.0,18.833792071529277,49.0,4.0,20.0,2.0,69.0,-7.36,
720575940618518582,central,unknown,0.0,1.5278342838718195e-10,21.087737760698584,118.0,13.0,55.0,9.0,173.0,-5.1,
720575940614914107,visual_projection,unknown,0.0,6.87529859639778e-09,19.993795819225078,26.0,4.0,185.0,17.0,211.0,-5.31,
720575940630937660,central,unknown,6.327558461741888e-05,5.794607315087128e-06,21.6200860190307,923.0,39.0,2610.0,112.0,3533.0,-5.41,
720575940620091457,central,unknown,3.8055596900243336e-08,1.5872749790738708e-07,21.120028813846293,233.0,11.0,1063.0,53.0,1296.0,-6.59,
720575940615438402,central,unknown,0.0,4.4531233546617045e-10,19.931488024686576,1211.0,49.0,1233.0,40.0,2444.0,-7.17,
720575940631167043,optic,optic_lobe_intrinsic,0.0,0.0,19.67065550674695,75.0,5.0,354.0,27.0,429.0,-7.5,
720575940609015876,central,unknown,0.0,2.3600757426299532e-08,20.74890759888929,178.0,18.0,170.0,19.0,348.0,-6.74,
720575940638343238,central,unknown,8.63644589081808e-05,2.0615471783583878e-05,23.448584388965493,1311.0,59.0,1001.0,41.0,2312.0,-3.02,
720575940627824712,ascending,AN,0.0,1.9406421400689237e-08,22.912678168875736,79.0,8.0,553.0,49.0,632.0,-5.27,
720575940624154697,central,unknown,0.0,5.457737377057212e-10,20.44221071930487,246.0,22.0,422.0,14.0,668.0,-5.89,
720575940630839371,descending,unknown,1.0965448421112972e-05,4.105502989036595e-06,24.03672991822521,1718.0,81.0,1491.0,62.0,3209.0,-4.36,
720575940622090316,central,LHLN,0.0,0.0,20.86854113370524,81.0,7.0,64.0,6.0,145.0,-6.33,
720575940625334349,central,unknown,0.0,1.0315965546284447e-11,23.678689846944238,184.0,9.0,208.0,10.0,392.0,-5.05,
720575940631855185,optic,optic_lobe_intrinsic,0.0,0.0,19.788689601145187,21.0,3.0,0.0,0.0,21.0,-7.21,
720575940617371732,central,unknown,2.990082613590548e-07,2.530785494549279e-06,23.01465680159696,402.0,43.0,1430.0,89.0,1832.0,-4.74,
720575940636606554,descending,unknown,0.0,2.592293008117886e-07,23.630173660776624,459.0,28.0,20.0,3.0,479.0,-2.43,
720575940615635037,central,unknown,0.0,4.454489607842673e-07,20.899655610797595,101.0,11.0,97.0,12.0,198.0,-6.87,
720575940634574943,central,unknown,0.0,2.49411892108315e-07,22.75237895053356,142.0,11.0,77.0,12.0,219.0,-4.69,
720575940634771552,central,ALLN,0.0,0.0,19.650649776131868,448.0,9.0,559.0,18.0,1007.0,-6.87,
720575940622319715,central,unknown,0.0,4.0727643449308375e-09,18.70423465565345,205.0,16.0,110.0,10.0,315.0,-7.2,
720575940625825892,optic,optic_lobe_intrinsic,0.0,0.0,18.814314936241963,25.0,4.0,60.0,8.0,85.0,-8.0,
720575940635852901,central,unknown,1.5564739132199522e-05,7.868475855751052e-08,19.3608135572174,531.0,19.0,1184.0,34.0,1715.0,-6.81,
720575940604624998,central,unknown,0.0,1.8012489309528732e-08,20.42996541790969,201.0,27.0,120.0,17.0,321.0,-7.25,
720575940630937704,central,unknown,0.0,1.6180100722892572e-11,22.724075384889773,33.0,2.0,149.0,18.0,182.0,-3.86,
720575940626481257,central,unknown,0.0,1.1686751202541096e-07,21.439655701364032,313.0,22.0,260.0,24.0,573.0,-6.12,
720575940631101548,central,unknown,0.0,0.0,20.18262404099089,209.0,16.0,51.0,6.0,260.0,-7.3,
720575940610916465,ascending,AN,0.0,2.7668813726307298e-08,20.360925350139244,855.0,29.0,220.0,20.0,1075.0,-6.25,
720575940620320884,sensory,mechanosensory,0.0,6.727458601571921e-11,24.660604397984443,13.0,2.0,10.0,2.0,23.0,-0.0,
720575940619206772,ascending,AN,0.0,2.847243340712657e-07,22.83992199668536,24.0,4.0,148.0,18.0,172.0,-3.76,
720575940648304761,sensory,mechanosensory,0.0,0.0,24.0,0.0,0.0,12.0,2.0,12.0,-0.0,
720575940647518340,central,unknown,1.6820573829907553e-05,7.037976134605415e-08,23.92628622770658,371.0,17.0,1158.0,39.0,1529.0,-5.08,
720575940620320902,central,unknown,2.800891931857909e-05,3.5691553185559426e-07,20.70583966715164,2799.0,152.0,1929.0,104.0,4728.0,-6.82,
720575940622123144,central,unknown,0.0,4.214589598107945e-09,22.88943390576012,340.0,21.0,481.0,41.0,821.0,-4.93,
720575940621107336,visual_projection,unknown,0.0,1.3066233432778177e-07,19.66862941795659,62.0,10.0,216.0,21.0,278.0,-6.39,
720575940627136655,central,unknown,2.1746055371567615e-08,1.884504877135042e-07,21.83578307349891,1044.0,78.0,981.0,66.0,2025.0,-6.57,
720575940615438482,optic,optic_lobe_intrinsic,0.0,0.0,21.32795386485761,359.0,27.0,720.0,19.0,1079.0,-5.67,
720575940624056467,central,unknown,0.0,3.399058627036902e-09,22.525135056362338,230.0,29.0,115.0,15.0,345.0,-5.93,
720575940614619282,central,unknown,9.470407114317697e-06,6.299350703104983e-06,19.879582870233197,691.0,44.0,838.0,49.0,1529.0,-7.2,
720575940611211417,sensory,gustatory,2.1746055371567615e-08,1.0047851499449175e-09,22.853665827539245,565.0,14.0,1671.0,71.0,2236.0,-5.65,
720575940628218011,sensory,mechanosensory,0.0,1.3650216946553832e-08,24.791700147945747,35.0,4.0,99.0,11.0,134.0,-0.0,
720575940628152475,central,unknown,0.0,1.8171364049259287e-09,22.020871338649577,68.0,11.0,60.0,4.0,128.0,-5.7,
720575940633165980,sensory,gustatory,0.0,9.693347629919877e-09,22.63602418652068,410.0,19.0,858.0,45.0,1268.0,-5.64,
720575940618682526,sensory,gustatory,0.0,3.1614157715344932e-09,24.76392348647953,6.0,1.0,5.0,1.0,11.0,-2.37,
720575940619960478,central,unknown,0.0,2.306046385812889e-10,21.32772567792373,66.0,10.0,6.0,1.0,72.0,-6.81,
720575940642898080,central,unknown,0.0,1.9498365850936976e-08,21.297676714563284,321.0,34.0,310.0,23.0,631.0,-6.7,
720575940614783138,optic,optic_lobe_intrinsic,0.0,1.058070379830219e-09,18.585283230421265,14.0,2.0,80.0,9.0,94.0,-7.18,
720575940629954724,central,unknown,0.0,1.8574952971365122e-08,22.83694068660293,386.0,18.0,372.0,33.0,758.0,-5.01,
720575940620157093,central,unknown,1.0873027685783807e-08,4.918072438083437e-08,21.095567273306564,464.0,39.0,586.0,41.0,1050.0,-6.91,
720575940620714150,descending,unknown,1.0873027685783807e-08,4.209438598209464e-06,22.1196908802393,1515.0,84.0,1754.0,63.0,3269.0,-6.18,
720575940623401128,sensory,mechanosensory,0.0,3.7100287910232762e-09,24.26632156774133,25.0,4.0,173.0,16.0,198.0,-0.0,
720575940621697193,ascending,AN,0.0,2.230366293711301e-07,22.009385341260103,201.0,12.0,138.0,15.0,339.0,-5.72,
720575940628283560,central,ALPN,0.0,2.2278507472684736e-09,20.96632688625652,157.0,15.0,660.0,46.0,817.0,-6.45,
720575940627333288,optic,optic_lobe_intrinsic,0.0,8.768532517338222e-10,18.959674448480303,27.0,3.0,49.0,6.0,76.0,-8.33,
720575940632412333,descending,unknown,1.3536919468800842e-06,7.749096825238048e-06,24.2948578602052,829.0,35.0,714.0,39.0,1543.0,-3.01,
720575940621729968,optic,optic_lobe_intrinsic,0.0,0.0,20.334227980838214,26.0,3.0,19.0,3.0,45.0,-5.42,
720575940622090416,optic,optic_lobe_intrinsic,0.0,7.49514254401487e-10,19.90398183709348,112.0,7.0,26.0,4.0,138.0,-7.08,
720575940607377586,central,unknown,1.0927392824212728e-06,6.749683021490106e-06,24.11801490484613,3053.0,114.0,1746.0,53.0,4799.0,-4.12,
720575940620910774,central,unknown,0.0,3.40143868140132e-07,22.779212984375544,141.0,17.0,135.0,16.0,276.0,-3.93,
720575940625006776,descending,unknown,2.1680817205452917e-05,3.173761657792076e-05,23.132710343177408,405.0,33.0,877.0,45.0,1282.0,-3.86,
720575940626972858,central,unknown,0.0,6.11848905388036e-08,20.427251685649814,290.0,24.0,192.0,14.0,482.0,-7.0,
720575940618420417,central,unknown,0.0,6.605409278228341e-09,21.99471027548845,17.0,3.0,61.0,7.0,78.0,-5.73,
720575940627398855,ascending,AN,0.0,6.533368909899144e-07,23.87902932901276,10.0,2.0,570.0,38.0,580.0,-3.25,
720575940643651784,central,unknown,0.0,5.891212399185048e-09,21.19008577822374,262.0,22.0,230.0,20.0,492.0,-6.49,
720575940606722249,central,ALLN,0.0,8.915094164941046e-09,20.25660490377866,3021.0,85.0,2313.0,81.0,5334.0,-7.84,
720575940606787785,optic,optic_lobe_intrinsic,0.0,4.263932425797573e-11,19.00384541403008,171.0,14.0,79.0,10.0,250.0,-7.6,
720575940609474766,visual_centrifugal,unknown,0.0,0.0,21.648128542485345,175.0,8.0,109.0,10.0,284.0,-6.19,
720575940613243089,central,unknown,0.0,1.3005308537971392e-08,20.19956114948364,268.0,28.0,240.0,17.0,508.0,-7.29,
720575940639817947,visual_projection,unknown,0.0,6.406350933763174e-09,19.037386005117643,191.0,22.0,177.0,15.0,368.0,-7.87,
720575940637032670,central,unknown,0.0,4.953378899379219e-07,21.35636939591621,193.0,18.0,344.0,18.0,537.0,-6.75,
720575940632084705,central,unknown,1.707065346668058e-05,6.553236216731653e-06,23.607086259713647,630.0,34.0,767.0,60.0,1397.0,-2.93,
720575940612554979,central,unknown,0.0,2.9526320612725656e-08,19.74190218017885,98.0,6.0,50.0,3.0,148.0,-6.52,
720575940610425061,central,unknown,6.523816611470286e-07,1.5240974191594067e-08,22.47471484102484,328.0,26.0,1096.0,59.0,1424.0,-5.12,
720575940637130985,sensory,gustatory,0.0,1.518317332857573e-09,22.8941135259695,314.0,24.0,1447.0,61.0,1761.0,-5.58,
720575940624417002,central,unknown,0.0,7.3662301444828345e-09,20.375132884394,184.0,18.0,213.0,13.0,397.0,-7.13,
720575940625170667,optic,optic_lobe_intrinsic,0.0,0.0,19.585633806898297,175.0,13.0,715.0,43.0,890.0,-7.35,
720575940629463281,central,unknown,0.0,1.0893809896091663e-09,22.157150076285856,252.0,21.0,290.0,23.0,542.0,-5.38,
720575940612423922,central,unknown,6.067149448667365e-06,2.466143161682077e-07,21.944833704816737,2496.0,86.0,2366.0,69.0,4862.0,-6.37,
720575940638572789,central,unknown,0.0,0.0,21.975813716032143,32.0,5.0,14.0,2.0,46.0,-6.39,
720575940629201143,sensory,mechanosensory,0.0,0.0,24.0,0.0,0.0,6.0,1.0,6.0,-0.0,
720575940630020345,central,unknown,0.0,3.0922776658781145e-08,21.64036907440005,408.0,20.0,792.0,39.0,1200.0,-6.47,
720575940631625979,central,unknown,1.0144534830836294e-05,3.726550596897494e-07,20.69186272832857,1174.0,54.0,1964.0,83.0,3138.0,-7.28,
720575940613144830,central,unknown,0.0,1.186916608010521e-09,20.550370711673214,1302.0,49.0,1042.0,73.0,2344.0,-7.83,
720575940621861119,sensory,mechanosensory,3.338019499535629e-06,1.6599717504615711e-06,24.879026593234475,47.0,6.0,238.0,21.0,285.0,-0.0,
720575940627333378,central,unknown,0.0,2.3241419862943117e-09,20.20812714255765,133.0,14.0,423.0,32.0,556.0,-7.02,
720575940629987587,central,unknown,0.0,2.57447141149742e-08,23.135754421589997,199.0,19.0,162.0,16.0,361.0,-4.08,
720575940625596676,sensory,mechanosensory,0.0,1.9395887097984994e-09,24.798677353261656,16.0,3.0,20.0,3.0,36.0,-0.0,
720575940628971779,descending,unknown,3.2358130392892614e-05,7.2529546327076465e-06,23.849538494834288,903.0,57.0,504.0,34.0,1407.0,-4.74,
720575940627300618,optic,optic_lobe_intrinsic,0.0,0.0,19.397044835559896,21.0,2.0,35.0,2.0,56.0,-8.04,
720575940621926669,central,ALPN,0.0,0.0,21.49317055480748,162.0,9.0,38.0,6.0,200.0,-6.44,
720575940625989904,central,unknown,0.0,3.810892258536554e-09,22.788201768970275,378.0,21.0,410.0,31.0,788.0,-5.28,
720575940626186512,central,unknown,0.0,0.0,23.622626699837088,59.0,3.0,61.0,9.0,120.0,-4.08,
720575940631724306,optic,optic_lobe_intrinsic,0.0,0.0,21.28033284041819,40.0,5.0,223.0,23.0,263.0,-5.06,
720575940627300627,central,unknown,1.9734545249697613e-06,1.2227629685531476e-05,23.890350707842217,335.0,35.0,746.0,63.0,1081.0,-2.06,
720575940626678035,visual_centrifugal,unknown,0.0,0.0,22.2986512442479,27.0,3.0,18.0,2.0,45.0,-4.83,
720575940626809109,central,unknown,0.0,2.9669203124856823e-08,22.49210334090288,824.0,45.0,1464.0,57.0,2288.0,-5.73,
720575940621336852,descending,unknown,0.0,5.758155056168768e-07,21.2935618367258,729.0,46.0,81.0,7.0,810.0,-6.83,
720575940620779800,central,unknown,0.0,4.48283400370589e-07,22.166873045983404,223.0,24.0,308.0,31.0,531.0,-5.46,
720575940618715421,visual_projection,unknown,0.0,8.750910569656885e-10,19.627252101613564,245.0,20.0,551.0,56.0,796.0,-7.3,
720575940633067807,central,unknown,0.0,9.60967374966869e-09,20.970689888318404,236.0,20.0,292.0,29.0,528.0,-6.43,
720575940646568227,optic,optic_lobe_intrinsic,0.0,0.0,20.502349253078854,94.0,6.0,30.0,3.0,124.0,-7.53,
720575940622811430,central,ALPN,0.0,1.5059595132664554e-11,21.098802922840918,304.0,24.0,483.0,37.0,787.0,-6.8,
720575940622254375,central,unknown,0.0,4.784653914471526e-08,23.23659399757257,123.0,12.0,1141.0,67.0,1264.0,-4.58,
720575940611604776,central,unknown,0.0,5.799647871223717e-07,23.35598990682312,844.0,51.0,354.0,42.0,1198.0,-3.94,
720575940611703080,central,ALPN,0.0,2.987095518072475e-11,20.24459410828649,724.0,58.0,425.0,41.0,1149.0,-7.42,
720575940629102891,visual_projection,ocellar,0.0,4.506739539923567e-08,20.708522820748463,162.0,8.0,971.0,31.0,1133.0,-7.01,
720575940628578603,optic,optic_lobe_intrinsic,0.0,0.0,18.61827876517802,25.0,3.0,68.0,7.0,93.0,-7.73,
720575940631068973,central,unknown,7.067467995759477e-08,8.708146567168883e-08,22.961164314703037,600.0,47.0,1282.0,63.0,1882.0,-4.45,
720575940624154928,sensory,mechanosensory,7.067467995759477e-08,1.1341413904130049e-06,25.057771870528263,219.0,14.0,631.0,50.0,850.0,-0.0,
