root_id,super_class,class,bw_weighted,bw_unweighted,influence,in_syn,in_deg,out_syn,out_deg,total_syn,traversal,current_flow
720575940626612228,optic,optic_lobe_intrinsic,0.0,0.0,0.0,0.0,0.0,43.0,5.0,43.0,-13.0,
720575940625039370,central,unknown,1.7098644776461827e-08,8.555114293765059e-08,20.743000021468568,83.0,7.0,69.0,6.0,152.0,-6.16,
720575940627398675,optic,optic_lobe_intrinsic,0.0,0.0,12.218304123128528,61.0,6.0,57.0,5.0,118.0,-12.27,
720575940618878996,visual_projection,unknown,0.0,0.0,14.055555762647428,78.0,11.0,42.0,4.0,120.0,-12.31,
720575940646535203,optic,optic_lobe_intrinsic,0.0,0.0,11.999297659980105,83.0,9.0,39.0,5.0,122.0,-12.32,
720575940644306980,optic,optic_lobe_intrinsic,0.0,0.0,9.550633124290178,5.0,1.0,49.0,7.0,54.0,-12.6,
720575940644831268,optic,optic_lobe_intrinsic,0.0,0.0,10.998287088278255,45.0,5.0,67.0,7.0,112.0,-12.75,
720575940630151212,optic,optic_lobe_intrinsic,0.0,0.0,12.934795938276132,5.0,1.0,33.0,4.0,38.0,-12.74,
720575940626087980,optic,optic_lobe_intrinsic,0.0,0.0,11.21632109272965,177.0,7.0,287.0,20.0,464.0,-12.78,
720575940616650802,optic,optic_lobe_intrinsic,0.0,0.0,12.61872875481748,172.0,18.0,148.0,12.0,320.0,-12.42,
720575940616912946,optic,optic_lobe_intrinsic,0.0,0.0,13.080432134857956,17.0,3.0,63.0,10.0,80.0,-12.06,
720575940643520564,optic,optic_lobe_intrinsic,0.0,0.0,11.5417298157203,22.0,3.0,71.0,9.0,93.0,-12.53,
720575940639457333,optic,optic_lobe_intrinsic,0.0,0.0,7.73377608622982,9.0,1.0,29.0,4.0,38.0,-12.7,
720575940638933045,optic,optic_lobe_intrinsic,0.0,0.0,13.437105906067188,50.0,7.0,157.0,22.0,207.0,-11.5,
720575940642471988,optic,optic_lobe_intrinsic,0.0,0.0,12.544228679041362,75.0,7.0,34.0,5.0,109.0,-12.06,
720575940609966148,optic,optic_lobe_intrinsic,0.0,0.0,12.59307660517926,31.0,5.0,84.0,9.0,115.0,-12.54,
720575940636835910,optic,optic_lobe_intrinsic,0.0,0.0,11.628736424249158,20.0,3.0,68.0,7.0,88.0,-12.52,
720575940630020171,optic,optic_lobe_intrinsic,0.0,0.0,0.0,0.0,0.0,15.0,2.0,15.0,-13.0,
720575940631593041,optic,optic_lobe_intrinsic,0.0,0.0,13.125495455641756,60.0,6.0,346.0,21.0,406.0,-12.13,
720575940631855185,optic,optic_lobe_intrinsic,0.0,0.0,15.03928148617214,52.0,7.0,141.0,7.0,193.0,-11.36,
720575940632510547,optic,optic_lobe_intrinsic,0.0,0.0,14.146954507440904,58.0,7.0,85.0,9.0,143.0,-11.67,
720575940618616916,optic,optic_lobe_intrinsic,0.0,0.0,14.412992271635389,39.0,5.0,528.0,40.0,567.0,-11.14,
720575940640112728,optic,optic_lobe_intrinsic,0.0,0.0,13.774318426102594,41.0,5.0,120.0,13.0,161.0,-12.39,
720575940638146650,optic,optic_lobe_intrinsic,0.0,0.0,11.222498426891043,16.0,2.0,34.0,5.0,50.0,-12.64,
720575940608786524,optic,optic_lobe_intrinsic,0.0,0.0,14.097868791026864,132.0,16.0,104.0,9.0,236.0,-11.74,
720575940635525215,optic,optic_lobe_intrinsic,0.0,0.0,12.849984103409868,18.0,2.0,35.0,1.0,53.0,-12.53,
720575940634607712,optic,optic_lobe_intrinsic,0.0,0.0,15.63231719762604,44.0,4.0,9.0,1.0,53.0,-12.15,
720575940633952363,optic,optic_lobe_intrinsic,0.0,1.2294025423991146e-09,15.995267801408223,68.0,6.0,223.0,22.0,291.0,-11.09,
720575940630544492,optic,optic_lobe_intrinsic,0.0,0.0,11.907953118431102,23.0,3.0,28.0,4.0,51.0,-12.03,
720575940650074233,optic,optic_lobe_intrinsic,0.0,0.0,11.016555211249589,70.0,7.0,334.0,24.0,404.0,-12.61,
720575940628054141,optic,optic_lobe_intrinsic,0.0,0.0,13.45184608959365,26.0,4.0,5.0,1.0,31.0,-12.29,
720575940627529859,optic,optic_lobe_intrinsic,0.0,0.0,15.21907576387772,54.0,8.0,54.0,4.0,108.0,-11.63,
720575940627005573,optic,optic_lobe_intrinsic,0.0,0.0,15.541061810793256,55.0,5.0,7.0,1.0,62.0,-12.07,
720575940620451974,optic,optic_lobe_intrinsic,0.0,0.0,10.835543062852013,26.0,4.0,16.0,3.0,42.0,-11.86,
720575940623597704,optic,optic_lobe_intrinsic,0.0,0.0,12.909709835856562,31.0,4.0,34.0,3.0,65.0,-11.95,
720575940623073449,optic,optic_lobe_intrinsic,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,-13.0,
720575940614684847,optic,optic_lobe_intrinsic,0.0,0.0,13.7193623915482,29.0,4.0,152.0,20.0,181.0,-12.26,
720575940622287031,optic,optic_lobe_intrinsic,0.0,0.0,12.776600822982306,54.0,4.0,45.0,5.0,99.0,-12.08,
720575940625432760,optic,optic_lobe_intrinsic,0.0,0.0,13.719077582010687,34.0,3.0,64.0,8.0,98.0,-12.34,
720575940621500608,optic,optic_lobe_intrinsic,0.0,0.0,16.360000840019048,26.0,4.0,12.0,1.0,38.0,-11.13,
720575940621369536,optic,optic_lobe_intrinsic,0.0,0.0,12.499809848155852,25.0,3.0,48.0,6.0,73.0,-12.72,
720575940617306324,optic,optic_lobe_intrinsic,0.0,0.0,12.896547681929883,55.0,5.0,12.0,1.0,67.0,-12.27,
720575940629233884,optic,optic_lobe_intrinsic,0.0,0.0,10.289528972347004,152.0,8.0,192.0,14.0,344.0,-12.88,
720575940616388831,optic,optic_lobe_intrinsic,0.0,0.0,12.792037888855374,43.0,5.0,63.0,9.0,106.0,-11.84,
720575940614947039,optic,optic_lobe_intrinsic,0.0,0.0,13.302413124651691,54.0,4.0,9.0,1.0,63.0,-12.26,
720575940611932389,optic,optic_lobe_intrinsic,0.0,0.0,15.553753209306608,32.0,4.0,11.0,2.0,43.0,-11.91,
720575940625170667,optic,optic_lobe_intrinsic,0.0,0.0,12.643004925223634,190.0,21.0,667.0,33.0,857.0,-12.09,
720575940620189934,optic,optic_lobe_intrinsic,0.0,0.0,13.141355812545973,21.0,1.0,39.0,1.0,60.0,-12.71,
720575940627923185,optic,optic_lobe_intrinsic,0.0,0.0,13.149615017575108,26.0,3.0,48.0,5.0,74.0,-12.66,
720575940625432819,optic,optic_lobe_intrinsic,0.0,0.0,10.287011316418662,46.0,6.0,202.0,16.0,248.0,-12.34,
720575940630151415,optic,optic_lobe_intrinsic,0.0,0.0,14.201179207105492,16.0,3.0,94.0,12.0,110.0,-11.23,
720575940630937851,optic,optic_lobe_intrinsic,0.0,0.0,12.556177175255566,119.0,7.0,169.0,10.0,288.0,-12.49,
720575940620714253,optic,optic_lobe_intrinsic,0.0,0.0,15.595966267035047,91.0,10.0,89.0,12.0,180.0,-12.28,
720575940623728910,optic,optic_lobe_intrinsic,0.0,0.0,15.924754679642223,16.0,3.0,50.0,7.0,66.0,-11.28,
720575940627267855,optic,optic_lobe_intrinsic,0.0,0.0,11.61174284383864,53.0,7.0,126.0,12.0,179.0,-12.55,
720575940631724306,optic,optic_lobe_intrinsic,0.0,0.0,10.039281026252214,11.0,2.0,135.0,13.0,146.0,-12.5,
720575940626088229,optic,optic_lobe_intrinsic,0.0,0.0,12.543226260430275,83.0,11.0,30.0,4.0,113.0,-11.83,
720575940629102891,visual_projection,ocellar,3.265841152304209e-07,7.369318997397421e-07,22.735887862469387,183.0,10.0,1081.0,34.0,1264.0,-2.92,
720575940629758251,optic,optic_lobe_intrinsic,0.0,0.0,17.044780335137375,37.0,4.0,35.0,5.0,72.0,-11.5,
720575940628971829,optic,optic_lobe_intrinsic,0.0,0.0,13.17730976175477,42.0,4.0,311.0,21.0,353.0,-11.32,
720575940621238593,optic,optic_lobe_intrinsic,0.0,0.0,12.647336457749578,61.0,4.0,39.0,5.0,100.0,-11.99,
720575940630937923,visual_projection,unknown,0.0,3.5374766552560303e-09,14.010672826967228,371.0,41.0,13.0,2.0,384.0,-12.24,
720575940627923272,optic,optic_lobe_intrinsic,0.0,0.0,8.130588857118504,14.0,2.0,74.0,8.0,88.0,-12.53,
720575940624253257,optic,optic_lobe_intrinsic,0.0,0.0,12.38281819103589,176.0,5.0,139.0,11.0,315.0,-12.31,
720575940638540110,optic,optic_lobe_intrinsic,0.0,0.0,12.540394679729232,18.0,3.0,74.0,8.0,92.0,-11.85,
720575940638277978,optic,optic_lobe_intrinsic,0.0,0.0,13.865870983776778,5.0,1.0,75.0,9.0,80.0,-9.63,
720575940608393564,optic,optic_lobe_intrinsic,0.0,0.0,13.430306553237674,39.0,3.0,134.0,20.0,173.0,-11.12,
720575940617830749,optic,optic_lobe_intrinsic,0.0,0.0,8.090689067789747,15.0,1.0,78.0,9.0,93.0,-12.38,
720575940628709740,optic,optic_lobe_intrinsic,0.0,0.0,12.256819526139916,41.0,6.0,102.0,14.0,143.0,-12.1,
720575940636049775,optic,optic_lobe_intrinsic,0.0,0.0,9.542196859617205,36.0,5.0,106.0,10.0,142.0,-12.35,
720575940640506227,optic,optic_lobe_intrinsic,0.0,0.0,12.761692006435856,32.0,4.0,0.0,0.0,32.0,-12.28,
720575940630544758,optic,optic_lobe_intrinsic,0.0,0.0,0.0,0.0,0.0,20.0,2.0,20.0,-13.0,
720575940610621816,optic,optic_lobe_intrinsic,0.0,0.0,16.41612818332266,23.0,2.0,39.0,2.0,62.0,-12.43,
720575940627267965,optic,optic_lobe_intrinsic,0.0,0.0,18.28756749089471,57.0,7.0,93.0,11.0,150.0,-10.32,
720575940620583302,optic,optic_lobe_intrinsic,0.0,0.0,10.161042704893148,35.0,6.0,109.0,13.0,144.0,-12.4,
720575940627792265,optic,optic_lobe_intrinsic,0.0,0.0,13.137813972840304,315.0,36.0,138.0,20.0,453.0,-12.07,
720575940637229454,optic,bilateral,0.0,0.0,14.350929116463002,33.0,5.0,74.0,6.0,107.0,-12.5,
720575940624253331,optic,optic_lobe_intrinsic,0.0,0.0,13.226678650835954,70.0,6.0,202.0,25.0,272.0,-11.9,
720575940629365147,optic,optic_lobe_intrinsic,0.0,0.0,12.552400154641392,107.0,11.0,94.0,10.0,201.0,-12.07,
720575940639850915,optic,optic_lobe_intrinsic,0.0,0.0,10.492434055352897,5.0,1.0,11.0,2.0,16.0,-12.34,
720575940618486181,visual_projection,unknown,0.0,0.0,13.959203714835862,6.0,1.0,37.0,6.0,43.0,-9.87,
720575940620845477,optic,optic_lobe_intrinsic,0.0,0.0,15.305321351695357,18.0,3.0,26.0,5.0,44.0,-11.73,
720575940637098414,optic,optic_lobe_intrinsic,0.0,0.0,15.031159972470832,11.0,2.0,40.0,5.0,51.0,-11.3,
720575940614029743,optic,optic_lobe_intrinsic,0.0,0.0,13.028462156929011,34.0,3.0,75.0,9.0,109.0,-12.14,
720575940612063667,optic,optic_lobe_intrinsic,0.0,0.0,11.841290614989706,60.0,8.0,241.0,17.0,301.0,-12.1,
720575940612456883,optic,optic_lobe_intrinsic,0.0,0.0,14.697975764660985,5.0,1.0,48.0,6.0,53.0,-12.43,
720575940625695162,optic,optic_lobe_intrinsic,0.0,0.0,13.009349445279474,37.0,5.0,240.0,19.0,277.0,-11.96,
720575940616389051,optic,optic_lobe_intrinsic,0.0,0.0,12.649281409677126,19.0,3.0,37.0,5.0,56.0,-12.14,
720575940633428415,visual_projection,unknown,0.0,3.4895193421350664e-11,15.37169400640466,84.0,7.0,17.0,3.0,101.0,-12.3,
720575940610490819,visual_projection,unknown,0.0,0.0,16.295601926200398,269.0,24.0,49.0,6.0,318.0,-11.67,
720575940628971975,optic,optic_lobe_intrinsic,0.0,0.0,14.869713005728336,76.0,10.0,39.0,5.0,115.0,-11.9,
720575940632904140,optic,optic_lobe_intrinsic,0.0,0.0,15.667479355106568,64.0,7.0,216.0,26.0,280.0,-11.67,
720575940622287309,optic,optic_lobe_intrinsic,0.0,0.0,11.759135182474502,31.0,5.0,65.0,7.0,96.0,-12.02,
720575940641423824,optic,optic_lobe_intrinsic,0.0,0.0,11.82014974903093,85.0,9.0,15.0,2.0,100.0,-12.4,
720575940615864788,central,unknown,0.0,1.1208037367872865e-08,18.664042284882647,89.0,4.0,129.0,8.0,218.0,-7.39,
720575940623991274,optic,optic_lobe_intrinsic,0.0,0.0,13.825070823401038,27.0,4.0,77.0,9.0,104.0,-11.17,
720575940624646636,optic,optic_lobe_intrinsic,0.0,0.0,16.83210811862088,19.0,1.0,47.0,2.0,66.0,-12.44,
720575940620714479,optic,optic_lobe_intrinsic,0.0,0.0,12.69541061910396,43.0,4.0,60.0,5.0,103.0,-12.41,
720575940635394552,optic,optic_lobe_intrinsic,0.0,0.0,13.839437967758572,73.0,10.0,186.0,26.0,259.0,-11.43,
720575940629627386,optic,optic_lobe_intrinsic,0.0,0.0,10.696836350326423,6.0,1.0,58.0,7.0,64.0,-11.5,
720575940629758459,visual_projection,unknown,0.0,0.0,14.030915273278234,140.0,17.0,15.0,2.0,155.0,-12.05,
720575940624777735,optic,optic_lobe_intrinsic,0.0,0.0,12.55959206441388,31.0,5.0,62.0,7.0,93.0,-12.37,
720575940625039880,optic,optic_lobe_intrinsic,0.0,0.0,8.809470353704166,11.0,2.0,57.0,7.0,68.0,-12.66,
720575940624515591,optic,optic_lobe_intrinsic,0.0,0.0,14.399789449873037,5.0,1.0,58.0,7.0,63.0,-11.61,
720575940627792401,visual_projection,unknown,0.0,0.0,13.19405183294878,97.0,12.0,68.0,6.0,165.0,-12.58,
720575940616782365,optic,optic_lobe_intrinsic,0.0,0.0,13.549798641966444,66.0,6.0,125.0,18.0,191.0,-12.04,
720575940605379104,optic,optic_lobe_intrinsic,0.0,0.0,15.86896929977975,59.0,6.0,24.0,3.0,83.0,-11.91,
720575940622287393,optic,optic_lobe_intrinsic,0.0,0.0,12.422216012563672,38.0,3.0,60.0,7.0,98.0,-11.37,
720575940625695269,visual_projection,unknown,0.0,0.0,13.673586171461183,141.0,20.0,15.0,3.0,156.0,-12.42,
