root_id,super_class,class,bw_weighted,bw_unweighted,influence,in_syn,in_deg,out_syn,out_deg,total_syn,traversal,current_flow
720575940624384007,sensory,olfactory,0.0,0.0,24.0,0.0,0.0,16.0,3.0,16.0,-0.0,
720575940623728647,central,unknown,0.0,0.0,24.01823232156431,238.0,18.0,441.0,30.0,679.0,-4.34,
720575940627202058,central,Kenyon_Cell,0.0,0.0,24.666678509012456,130.0,7.0,34.0,1.0,164.0,-3.0,
720575940614717452,central,unknown,0.0,0.0,22.64438838339771,87.0,8.0,24.0,2.0,111.0,-5.18,
720575940623302669,sensory,olfactory,0.0,1.5501619649484405e-07,25.18119531262901,178.0,16.0,292.0,22.0,470.0,-0.0,
720575940631003151,central,Kenyon_Cell,0.0,0.0,24.75154339320475,109.0,8.0,34.0,2.0,143.0,-2.82,
720575940624154648,central,unknown,0.0,0.0,22.0619087735112,646.0,25.0,0.0,0.0,646.0,-5.85,
720575940631494687,sensory,olfactory,0.0,6.34721267623496e-08,25.21916528977069,8.0,1.0,68.0,5.0,76.0,-0.0,
720575940646043683,visual_projection,unknown,0.0,3.6484113766306086e-11,22.84294615432469,84.0,9.0,266.0,11.0,350.0,-5.05,
720575940623237161,central,ALPN,0.0,1.1166342797453909e-06,23.52109035718057,404.0,24.0,558.0,28.0,962.0,-4.76,
720575940624351273,central,LHCENT,0.0,1.488059921030237e-10,24.14451200531217,442.0,31.0,689.0,45.0,1131.0,-3.63,
720575940628217899,central,Kenyon_Cell,0.0,0.0,24.623825427953133,137.0,6.0,30.0,2.0,167.0,-3.41,
720575940631429165,sensory,olfactory,0.0,0.0,25.154770928471983,12.0,2.0,46.0,3.0,58.0,-0.0,
720575940616093746,sensory,olfactory,0.0,0.0,25.08599341639624,25.0,3.0,46.0,5.0,71.0,-0.0,
720575940646142004,sensory,olfactory,0.0,0.0,25.126845125208504,17.0,2.0,61.0,4.0,78.0,-0.0,
720575940637524021,central,LHLN,0.0,3.021619319597729e-09,24.77631576745698,320.0,21.0,130.0,11.0,450.0,-3.0,
720575940627890231,sensory,olfactory,0.0,0.0,25.12788033789312,26.0,3.0,14.0,2.0,40.0,-0.0,
720575940630282297,sensory,hygrosensory,0.0,1.0542778545794268e-08,24.588511099963387,23.0,4.0,169.0,17.0,192.0,-3.93,
720575940627103802,central,Kenyon_Cell,0.0,0.0,24.474140752934503,89.0,5.0,21.0,1.0,110.0,-3.34,
720575940625760318,central,unknown,0.0,0.0,23.72238419045368,14.0,1.0,18.0,2.0,32.0,-2.89,
720575940615503938,central,LHLN,0.0,2.116513492368365e-09,24.65299331256961,955.0,64.0,228.0,21.0,1183.0,-3.33,
720575940615438402,central,unknown,0.0,1.8704501339120146e-07,23.87366580673312,3020.0,115.0,2066.0,93.0,5086.0,-4.66,
720575940638212166,sensory,olfactory,0.0,0.0,25.14186321473966,8.0,1.0,23.0,1.0,31.0,-0.0,
720575940638343238,central,unknown,1.7349290619291536e-06,1.248653162131169e-07,21.241425746723987,319.0,10.0,423.0,19.0,742.0,-4.69,
720575940629823563,central,Kenyon_Cell,0.0,0.0,23.616535717395717,49.0,3.0,27.0,1.0,76.0,-4.42,
720575940622090316,central,LHLN,0.0,6.1138311979376875e-09,24.472007967988112,180.0,16.0,208.0,20.0,388.0,-3.45,
720575940617371732,central,unknown,0.0,1.0369768677525288e-08,20.79837281463419,149.0,11.0,370.0,15.0,519.0,-6.57,
720575940620189790,central,ALPN,3.973119989150733e-08,7.140209665642015e-07,24.913058348777533,809.0,72.0,1198.0,111.0,2007.0,-1.77,
720575940634771552,central,ALLN,2.145484794141396e-06,4.704253095083577e-07,25.056299935803143,883.0,29.0,1072.0,41.0,1955.0,-1.81,
720575940631101548,central,unknown,0.0,1.3388150489002752e-08,23.91004503910207,460.0,25.0,415.0,43.0,875.0,-4.86,
720575940634706035,sensory,olfactory,0.0,0.0,25.15960353045155,21.0,4.0,51.0,4.0,72.0,-0.0,
720575940608295032,central,ALPN,0.0,0.0,23.984240537677803,79.0,10.0,183.0,14.0,262.0,-4.07,
720575940630610042,descending,unknown,0.0,2.5996133880847153e-09,22.842590232885023,1716.0,91.0,49.0,7.0,1765.0,-5.12,
720575940621009023,sensory,hygrosensory,0.0,5.497400541990235e-08,24.610234359821323,34.0,5.0,159.0,14.0,193.0,-3.36,
720575940659150977,sensory,olfactory,0.0,0.0,24.0,0.0,0.0,53.0,7.0,53.0,-0.0,
720575940606853250,central,Kenyon_Cell,0.0,0.0,24.696280772919224,112.0,7.0,19.0,1.0,131.0,-3.15,
720575940620124295,central,unknown,2.993083725160219e-06,1.1902287269352293e-07,24.573853630819908,1899.0,77.0,957.0,65.0,2856.0,-3.12,
720575940621926536,sensory,olfactory,0.0,4.471340233655899e-09,25.085983439305583,16.0,3.0,34.0,3.0,50.0,-0.0,
720575940625694857,sensory,olfactory,0.0,1.778610095170585e-09,25.086625486418853,54.0,6.0,119.0,10.0,173.0,-0.0,
720575940615143563,central,unknown,0.0,0.0,22.261056700027964,194.0,19.0,173.0,11.0,367.0,-5.49,
720575940624482452,central,Kenyon_Cell,0.0,0.0,24.59351494146489,147.0,8.0,24.0,1.0,171.0,-3.36,
720575940611113109,central,Kenyon_Cell,0.0,0.0,24.625764421705924,158.0,11.0,18.0,1.0,176.0,-3.24,
720575940614684822,central,unknown,0.0,2.0463701199055363e-09,21.63562690553913,343.0,12.0,165.0,5.0,508.0,-5.95,
720575940634083479,sensory,olfactory,0.0,0.0,25.118557370430445,9.0,1.0,44.0,5.0,53.0,-0.0,
720575940625334424,sensory,olfactory,0.0,0.0,25.12905136545861,59.0,8.0,222.0,16.0,281.0,-0.0,
720575940611440793,central,unknown,0.0,0.0,22.34822296916853,99.0,6.0,0.0,0.0,99.0,-5.21,
720575940615405718,central,DAN,0.0,0.0,22.435133662508463,170.0,15.0,54.0,6.0,224.0,-6.11,
720575940633493660,central,Kenyon_Cell,0.0,0.0,24.506726737154725,93.0,6.0,24.0,1.0,117.0,-3.54,
720575940615438495,central,unknown,0.0,0.0,23.05129219494358,642.0,37.0,1493.0,103.0,2135.0,-5.1,
720575940640932003,central,unknown,0.0,0.0,24.75152439975505,51.0,6.0,10.0,1.0,61.0,-3.1,
720575940614553767,central,LHLN,0.0,2.1499159907599326e-09,24.606667425543364,282.0,21.0,136.0,18.0,418.0,-3.52,
720575940628283560,central,ALPN,4.9134250532497404e-06,3.7195684770310216e-06,24.683499276124053,360.0,39.0,1725.0,129.0,2085.0,-2.11,
720575940627660968,central,Kenyon_Cell,0.0,0.0,24.652548565382467,140.0,8.0,25.0,1.0,165.0,-3.3,
720575940611637418,sensory,olfactory,0.0,2.444653611502042e-10,25.04345888408376,5.0,1.0,35.0,4.0,40.0,-0.0,
720575940603871404,sensory,olfactory,0.0,0.0,25.14186321473966,8.0,1.0,86.0,11.0,94.0,-0.0,
720575940635361454,central,Kenyon_Cell,0.0,1.9156676887266916e-09,24.275776495749454,48.0,3.0,41.0,3.0,89.0,-3.92,
720575940633755828,central,Kenyon_Cell,0.0,0.0,24.61668277426889,114.0,7.0,21.0,1.0,135.0,-3.19,
720575940617470137,central,ALPN,0.0,0.0,24.695617140075854,59.0,7.0,183.0,20.0,242.0,-3.09,
720575940626022586,central,unknown,0.0,0.0,24.57419458442405,82.0,9.0,21.0,4.0,103.0,-3.08,
720575940618551481,central,unknown,0.0,0.0,23.233819597969152,1662.0,73.0,1608.0,104.0,3270.0,-5.3,
720575940624941244,central,ALPN,0.0,8.237773163412223e-08,24.96192000211772,655.0,49.0,754.0,69.0,1409.0,-1.77,
720575940629496002,central,unknown,0.0,0.0,24.37879506435541,75.0,7.0,71.0,10.0,146.0,-3.86,
720575940608524483,central,Kenyon_Cell,0.0,0.0,24.57514424259999,118.0,8.0,27.0,2.0,145.0,-3.31,
720575940643651784,central,unknown,0.0,1.183086576531545e-07,24.378663385784375,444.0,38.0,119.0,9.0,563.0,-3.88,
720575940606722249,central,ALLN,2.476578126570624e-06,1.7759966569933227e-06,24.648845300278047,4273.0,168.0,4002.0,176.0,8275.0,-3.63,
720575940619010251,central,Kenyon_Cell,0.0,0.0,24.73509186193004,144.0,6.0,21.0,1.0,165.0,-3.14,
720575940622647501,central,Kenyon_Cell,0.0,0.0,24.32760030831767,99.0,9.0,25.0,1.0,124.0,-3.45,
