root_id,super_class
720575940629561347,motor
720575940626415620,central
720575940607967241,central
720575940632510479,sensory
720575940630020111,sensory
720575940626153488,central
720575940630773778,sensory
720575940633198615,sensory_ascending
720575940644175895,central
720575940622188568,central
720575940620451866,central
720575940630216735,sensory_ascending
720575940623237161,central
720575940629397564,sensory
720575940630937660,central
720575940621762625,sensory
720575940638343238,central
720575940625727560,sensory_ascending
720575940627824712,ascending
720575940630839371,descending
720575940628873295,sensory
720575940617371732,central
720575940636606554,descending
720575940634574943,central
720575940610916465,ascending
720575940620320884,sensory
720575940619206772,ascending
720575940648304761,sensory
720575940620910716,sensory
720575940618027143,sensory_ascending
720575940623532176,sensory_ascending
720575940618682526,sensory
720575940623401128,sensory
720575940628283560,central
720575940605771948,central
720575940632412333,descending
720575940607377586,central
720575940625006776,descending
720575940608884931,sensory
720575940621304004,descending
720575940627398855,ascending
720575940617273560,sensory
720575940632084705,central
720575940625596647,descending
720575940622450924,sensory_ascending
720575940612423922,central
720575940629201143,sensory
720575940613144830,central
720575940621861119,sensory
720575940629987587,central
720575940625596676,sensory
720575940608557323,central
720575940630708498,central
720575940627300627,central
720575940621336852,descending
720575940622254375,central
720575940611604776,central
720575940629102891,visual_projection
720575940624154928,sensory
720575940625203504,sensory
720575940631462200,central
720575940629954872,central
720575940616028475,central
720575940637851982,sensory
720575940628578639,sensory
720575940615700820,sensory_ascending
720575940619895125,central
720575940624449881,sensory_ascending
720575940607770972,sensory
720575940633067871,central
720575940634837343,sensory
720575940634181984,sensory
720575940610261346,sensory
720575940636541285,central
720575940627792233,central
720575940629725545,descending
720575940628644218,central
720575940618682747,sensory
720575940622352764,descending
720575940620550534,central
720575940622123400,descending
720575940625269136,sensory
720575940615537041,ascending
720575940613603737,ascending
720575940635066778,central
720575940612686233,central
720575940613996959,sensory
720575940639785379,central
720575940617568697,descending
720575940633330111,sensory
720575940622778820,central
720575940631003589,central
720575940615700934,sensory
720575940624515530,sensory
720575940625269194,sensory
720575940609868238,sensory
720575940611015122,central
720575940611768803,central
720575940613112293,central
720575940636279273,central
720575940623696362,ascending
720575940624679403,sensory
720575940611277293,central
720575940613669357,sensory
720575940633919992,central
720575940628349446,sensory
720575940622844424,central
720575940630020639,sensory_ascending
720575940643258916,sensory
720575940644635172,sensory
720575940624679463,motor
720575940622385703,sensory_ascending
720575940624351785,central
720575940631855663,descending
720575940620550705,central
720575940637458997,central
720575940618551862,sensory
720575940627235386,central
720575940614685243,central
720575940615995970,sensory
720575940630118979,sensory
720575940616258117,central
720575940630544967,sensory
720575940631429707,sensory
720575940637360730,central
720575940635066975,central
720575940657611393,sensory_ascending
720575940621107847,descending
720575940624319124,descending
720575940626612888,central
720575940611965593,central
720575940635067034,sensory
720575940612031129,sensory
720575940611932842,ascending
720575940621533867,central
720575940604396209,central
720575940622451383,sensory
720575940624253624,sensory
720575940630741701,sensory
720575940626154183,central
720575940642210504,central
720575940605739721,central
720575940627071690,central
720575940618289867,sensory
720575940622516941,central
720575940607345365,sensory
720575940611474138,central
720575940611080922,central
720575940621894365,sensory
720575940603183840,sensory
720575940628054760,sensory
720575940621763312,central
720575940620780272,central
720575940623303411,central
720575940639458037,ascending
720575940635034360,central
720575940628579066,central
720575940626678524,central
720575940621730557,sensory
720575940622811903,sensory
720575940630610688,sensory
720575940608295689,sensory
720575940627366675,descending
720575940633199383,sensory_ascending
720575940645913367,visual_projection
720575940631593753,descending
720575940619928346,descending
720575940630217503,sensory_ascending
720575940617110306,sensory
720575940631397165,sensory
720575940624450352,central
720575940646929204,sensory
720575940628841271,central
720575940627039034,sensory
720575940638081855,sensory
720575940616356672,sensory_ascending
720575940629201731,central
720575940616553300,ascending
720575940616848214,central
720575940630020968,central
720575940619928429,central
720575940621009773,central
720575940633625455,sensory
720575940621599604,descending
720575940629693302,sensory
720575940648272761,sensory
720575940629824378,sensory
720575940621566844,descending
720575940625597317,central
720575940627104649,sensory
720575940632118156,central
720575940643259277,central
720575940623008659,central
720575940618519454,descending
720575940613243807,central
720575940618879910,central
720575940613309359,sensory
720575940606919602,central
720575940636017588,sensory
720575940620878785,descending
720575940643029960,central
720575940624516042,sensory
720575940622123981,central
720575940613080017,central
720575940609573845,sensory
720575940606657493,sensory
720575940610753503,sensory
720575940605379552,sensory
720575940626514920,sensory
720575940636410869,sensory
720575940621599741,ascending
720575940629365760,sensory
720575940625073154,sensory
720575940631331855,sensory
720575940631299090,central
720575940625466387,central
720575940632871961,central
720575940625695772,sensory
720575940617241629,central
720575940609934365,sensory
720575940629267498,sensory
720575940618847281,sensory
720575940614128691,central
720575940647060532,central
720575940637721653,central
720575940631462969,sensory
720575940617241659,sensory
720575940621534273,descending
720575940609377348,central
720575940623991881,sensory
720575940625138761,optic
720575940616455261,visual_projection
720575940628218976,sensory
720575940625826916,sensory
720575940627989609,sensory
720575940635427947,sensory
720575940630119532,descending
720575940637525104,sensory
720575940638082163,sensory
720575940610753656,sensory
720575940619535483,sensory
720575940619076731,central
720575940626875529,sensory
720575940642309261,sensory
720575940626941080,central
720575940628710555,ascending
720575940633429148,sensory
720575940628874395,sensory
720575940618355870,central
720575940618519710,motor
720575940641653920,sensory_ascending
720575940621501609,sensory
720575940620649641,sensory
720575940612129962,sensory
720575940636050606,central
720575940622877884,sensory_ascending
720575940615242964,sensory_ascending
720575940628546775,central
720575940622419165,sensory
720575940637656286,central
720575940611015909,sensory
720575940616946918,central
720575940620092656,sensory
720575940622877940,sensory
720575940639360245,sensory
720575940627825923,descending
720575940629792018,sensory
720575940621141274,sensory
720575940617504027,sensory
720575940630971679,sensory
720575940623729968,sensory
720575940614554930,central
720575940646044980,sensory
720575940629792060,descending
720575940627334474,sensory
720575940616783190,central
720575940618290523,sensory_ascending
720575940604364134,central
720575940614686058,sensory
720575940634903915,descending
720575940631037302,sensory
720575940626318717,central
720575940660233601,central
720575940659479937,sensory
720575940625204611,sensory
720575940629235084,sensory
720575940637197710,central
720575940623533459,central
720575940626613659,sensory_ascending
720575940635362716,central
720575940614751650,central
720575940619437478,sensory
720575940636181934,central
720575940621010352,sensory
720575940606002609,sensory
720575940607641010,motor
720575940605937074,central
720575940615308729,central
720575940604364222,central
720575940642506184,sensory
720575940605937097,central
720575940632020428,central
720575940611671506,central
720575940617930200,central
720575940634609115,sensory
720575940633626082,sensory
720575940611802595,central
720575940623238636,sensory
720575940611343853,sensory
720575940620813808,sensory
720575940612031986,central
720575940620649972,sensory
720575940623992317,central
720575940615505406,descending
720575940624057853,central
720575940622026245,central
720575940622222856,sensory
720575940609279499,sensory
720575940631299602,central
720575940619601428,central
720575940626679317,sensory
720575940622517784,sensory_ascending
720575940617242141,central
720575940626089502,central
720575940631070239,sensory
720575940627629598,descending
720575940633396767,central
720575940611900968,sensory_ascending
720575940609181230,sensory
720575940625172016,central
720575940624418352,sensory
720575940612523571,central
720575940626843194,central
720575940638836285,sensory
720575940631463495,sensory
720575940628743752,motor
720575940625040973,sensory
720575940632315473,sensory
720575940632839763,central
720575940630251095,sensory
720575940639196760,sensory
720575940618815067,central
720575940621665886,sensory
720575940621502051,sensory
720575940615898730,descending
720575940620977773,central
720575940646274670,motor
720575940612556402,sensory
720575940620879476,central
720575940608788088,central
720575940611442296,central
720575940607280770,central
720575940622386824,descending
720575940643325581,central
720575940635952782,central
720575940634379918,sensory
720575940635330204,central
720575940652566177,sensory
720575940620289701,sensory
720575940621469350,sensory
720575940613080751,sensory
720575940640212669,central
720575940620879552,sensory
720575940615046854,central
720575940640147152,central
720575940633364179,sensory
720575940631365340,central
720575940631693026,central
720575940628416232,visual_projection
720575940622059242,sensory
720575940612687597,sensory
720575940624123645,sensory
720575940630054656,sensory
720575940626646787,sensory
720575940628481798,central
720575940620715789,sensory
720575940631299855,descending
720575940632413970,central
720575940618094356,sensory_ascending
720575940627728149,central
720575940627236629,central
720575940607870749,sensory_ascending
720575940609541917,sensory
720575940633397023,central
720575940621633313,sensory
720575940622124833,central
720575940613408563,central
720575940644439860,sensory
720575940625729342,ascending
720575940636346175,central
720575940617504581,central
720575940638312262,sensory
720575940615964485,sensory_ascending
720575940638803790,central
720575940638312270,sensory
720575940630054735,descending
720575940639786830,sensory
720575940637820750,sensory
720575940628744023,sensory_ascending
720575940623173470,sensory
720575940636804976,sensory
720575940640507763,central
720575940637689728,sensory_ascending
720575940614326162,central
720575940635625367,central
720575940639786915,central
720575940633921453,central
720575940635527092,ascending
720575940617668537,sensory
720575940624549820,central
720575940620879808,sensory
720575940620322753,sensory
720575940619110347,central
720575940609869774,sensory
720575940614129617,descending
720575940609476562,sensory
720575940631988179,sensory
720575940631037907,central
720575940622583766,central
720575940621207517,sensory
720575940615407583,ascending
720575940618291174,central
720575940621076458,sensory
720575940623042539,sensory
720575940624943084,motor
720575940613670893,central
720575940610656242,central
720575940630775801,central
720575940625893372,sensory_ascending
