root_id,super_class,class
720575940629561347,motor,brain_motor_neuron
720575940626415620,central,unknown
720575940607967241,central,unknown
720575940632510479,sensory,gustatory
720575940626153488,central,unknown
720575940611047446,central,unknown
720575940644175895,central,unknown
720575940622188568,central,unknown
720575940620451866,central,unknown
720575940642308132,central,unknown
720575940624547878,optic,optic_lobe_intrinsic
720575940613144616,central,unknown
720575940632477738,optic,optic_lobe_intrinsic
720575940629921835,ascending,AN
720575940630478892,visual_centrifugal,unknown
720575940629823531,optic,optic_lobe_intrinsic
720575940629102636,central,unknown
720575940614193202,central,unknown
720575940638933045,optic,optic_lobe_intrinsic
720575940618518582,central,unknown
720575940614914107,visual_projection,unknown
720575940630937660,central,unknown
720575940620091457,central,unknown
720575940615438402,central,unknown
720575940631167043,optic,optic_lobe_intrinsic
720575940609015876,central,unknown
720575940638343238,central,unknown
720575940627824712,ascending,AN
720575940624154697,central,unknown
720575940630839371,descending,unknown
720575940622090316,central,LHLN
720575940625334349,central,unknown
720575940631855185,optic,optic_lobe_intrinsic
720575940617371732,central,unknown
720575940636606554,descending,unknown
720575940615635037,central,unknown
720575940634574943,central,unknown
720575940634771552,central,ALLN
720575940622319715,central,unknown
720575940625825892,optic,optic_lobe_intrinsic
720575940635852901,central,unknown
720575940604624998,central,unknown
720575940630937704,central,unknown
720575940626481257,central,unknown
720575940631101548,central,unknown
720575940610916465,ascending,AN
720575940620320884,sensory,mechanosensory
720575940619206772,ascending,AN
720575940648304761,sensory,mechanosensory
720575940647518340,central,unknown
720575940620320902,central,unknown
720575940622123144,central,unknown
720575940621107336,visual_projection,unknown
720575940627136655,central,unknown
720575940615438482,optic,optic_lobe_intrinsic
720575940624056467,central,unknown
720575940614619282,central,unknown
720575940611211417,sensory,gustatory
720575940628218011,sensory,mechanosensory
720575940628152475,central,unknown
720575940633165980,sensory,gustatory
720575940618682526,sensory,gustatory
720575940619960478,central,unknown
720575940642898080,central,unknown
720575940614783138,optic,optic_lobe_intrinsic
720575940629954724,central,unknown
720575940620157093,central,unknown
720575940620714150,descending,unknown
720575940623401128,sensory,mechanosensory
720575940621697193,ascending,AN
720575940628283560,central,ALPN
720575940627333288,optic,optic_lobe_intrinsic
720575940632412333,descending,unknown
720575940621729968,optic,optic_lobe_intrinsic
720575940622090416,optic,optic_lobe_intrinsic
720575940607377586,central,unknown
