root_id,super_class,class
720575940624384007,sensory,olfactory
720575940623728647,central,unknown
720575940627202058,central,Kenyon_Cell
720575940614717452,central,unknown
720575940623302669,sensory,olfactory
720575940631003151,central,Kenyon_Cell
720575940624154648,central,unknown
720575940631494687,sensory,olfactory
720575940646043683,visual_projection,unknown
720575940623237161,central,ALPN
720575940624351273,central,LHCENT
720575940628217899,central,Kenyon_Cell
720575940631429165,sensory,olfactory
720575940616093746,sensory,olfactory
720575940646142004,sensory,olfactory
720575940637524021,central,LHLN
720575940627890231,sensory,olfactory
720575940630282297,sensory,hygrosensory
720575940627103802,central,Kenyon_Cell
720575940625760318,central,unknown
720575940615503938,central,LHLN
720575940615438402,central,unknown
720575940638212166,sensory,olfactory
720575940638343238,central,unknown
720575940629823563,central,Kenyon_Cell
720575940622090316,central,LHLN
720575940617371732,central,unknown
720575940620189790,central,ALPN
720575940634771552,central,ALLN
720575940631101548,central,unknown
720575940634706035,sensory,olfactory
720575940608295032,central,ALPN
720575940630610042,descending,unknown
720575940621009023,sensory,hygrosensory
720575940659150977,sensory,olfactory
720575940606853250,central,Kenyon_Cell
720575940620124295,central,unknown
720575940621926536,sensory,olfactory
720575940625694857,sensory,olfactory
720575940615143563,central,unknown
720575940624482452,central,Kenyon_Cell
720575940611113109,central,Kenyon_Cell
720575940614684822,central,unknown
720575940634083479,sensory,olfactory
720575940625334424,sensory,olfactory
720575940611440793,central,unknown
720575940615405718,central,DAN
720575940633493660,central,Kenyon_Cell
720575940615438495,central,unknown
720575940640932003,central,unknown
720575940614553767,central,LHLN
720575940628283560,central,ALPN
720575940627660968,central,Kenyon_Cell
720575940611637418,sensory,olfactory
720575940603871404,sensory,olfactory
720575940635361454,central,Kenyon_Cell
720575940633755828,central,Kenyon_Cell
720575940617470137,central,ALPN
720575940626022586,central,unknown
720575940618551481,central,unknown
720575940624941244,central,ALPN
720575940629496002,central,unknown
720575940608524483,central,Kenyon_Cell
720575940643651784,central,unknown
720575940606722249,central,ALLN
720575940619010251,central,Kenyon_Cell
720575940622647501,central,Kenyon_Cell
720575940613898449,central,unknown
720575940631953619,sensory,olfactory
720575940617470164,central,unknown
720575940622745834,sensory,olfactory
720575940628349169,central,unknown
720575940630020345,central,unknown
720575940629528827,sensory,olfactory
720575940617502977,central,LHLN
720575940629397763,sensory,olfactory
720575940628447491,central,Kenyon_Cell
720575940622811400,central,ALLN
720575940621926669,central,ALPN
720575940631232786,central,LHLN
720575940627693845,central,unknown
720575940633067807,central,unknown
720575940617208098,sensory,olfactory
720575940622811430,central,ALPN
720575940622287142,central,ALPN
720575940611703080,central,ALPN
720575940621336873,central,unknown
720575940628218155,central,Kenyon_Cell
720575940629299500,central,Kenyon_Cell
720575940646535476,central,unknown
720575940646895924,central,unknown
720575940631462200,central,ALPN
720575940615569723,central,Kenyon_Cell
720575940630151484,central,unknown
720575940639686973,central,unknown
720575940617077056,central,unknown
720575940620779841,central,Kenyon_Cell
720575940614586690,sensory,olfactory
720575940631986499,sensory,olfactory
720575940609114436,sensory,olfactory
720575940631396675,central,unknown
720575940638638406,central,LHLN
720575940618649920,central,unknown
720575940623925577,central,unknown
720575940629266767,sensory,olfactory
720575940619895125,central,ALPN
720575940619927893,central,LHLN
720575940615274838,central,Kenyon_Cell
720575940634116448,central,unknown
720575940636508517,central,LHLN
720575940632904043,central,Kenyon_Cell
720575940621926765,central,ALPN
720575940637098352,central,LHCENT
720575940612096370,sensory,olfactory
720575940638179699,central,Kenyon_Cell
720575940648993145,central,Kenyon_Cell
720575940617011579,central,unknown
720575940620157307,central,unknown
720575940630217086,central,ALPN
720575940621730175,central,Kenyon_Cell
720575940659577217,central,Kenyon_Cell
720575940615831947,sensory,olfactory
720575940640735629,central,Kenyon_Cell
720575940615537041,ascending,AN
720575940616815005,sensory,olfactory
720575940618682782,central,unknown
720575940618715550,central,unknown
720575940639785379,central,unknown
720575940614062503,central,unknown
720575940627431848,central,LHLN
720575940636246446,central,Kenyon_Cell
720575940634771892,sensory,olfactory
720575940620386742,sensory,olfactory
720575940616356281,sensory,olfactory
720575940624974266,sensory,olfactory
720575940616651193,central,unknown
720575940615930299,central,unknown
720575940604821950,central,unknown
720575940621500865,central,ALLN
720575940628185538,central,ALPN
720575940618256833,central,ALPN
720575940623303108,central,ALPN
720575940623368644,central,Kenyon_Cell
720575940625465802,central,unknown
720575940633231827,central,Kenyon_Cell
720575940632052194,visual_projection,unknown
720575940612260323,central,unknown
720575940636508644,central,Kenyon_Cell
720575940637688292,central,unknown
720575940623598058,central,unknown
720575940626252273,central,Kenyon_Cell
720575940624515571,central,ALPN
720575940624450035,central,unknown
720575940642046453,central,ALPN
720575940628677114,sensory,olfactory
720575940628808186,central,Kenyon_Cell
720575940628382203,central,CX
720575940614423038,central,unknown
720575940629529088,central,Kenyon_Cell
720575940627628548,central,Kenyon_Cell
720575940621304325,sensory,olfactory
720575940625924618,central,ALPN
720575940624712206,central,unknown
720575940631134738,central,unknown
720575940617765405,central,unknown
720575940604985888,central,Kenyon_Cell
720575940619895329,central,Kenyon_Cell
720575940617208354,sensory,olfactory
720575940622746150,central,unknown
720575940625826352,central,LHLN
720575940620550705,central,ALON
720575940619403841,central,unknown
720575940608819780,central,unknown
720575940618125893,central,Kenyon_Cell
720575940622451273,central,Kenyon_Cell
720575940631003723,sensory,olfactory
720575940626416205,central,unknown
720575940626023001,central,ALPN
720575940617306717,central,unknown
720575940619960926,central,Kenyon_Cell
720575940635066975,central,ALPN
720575940633625184,central,ALLN
720575940621009505,central,unknown
720575940606165606,sensory,olfactory
720575940630315623,central,unknown
720575940634018415,central,Kenyon_Cell
720575940610818673,central,unknown
720575940621828732,central,unknown
720575940620649084,central,Kenyon_Cell
720575940628906622,central,Kenyon_Cell
720575940639195776,sensory,olfactory
720575940625990277,central,ALLN
720575940615668370,central,unknown
720575940617077405,central,Kenyon_Cell
720575940618912427,sensory,olfactory
720575940612817583,central,Kenyon_Cell
720575940635493044,central,Kenyon_Cell
720575940625040053,central,ALPN
720575940623008440,central,Kenyon_Cell
720575940625334970,central,unknown
720575940635001535,central,LHLN
720575940620354241,central,Kenyon_Cell
720575940622516941,central,unknown
720575940622484182,central,unknown
720575940611769059,central,Kenyon_Cell
720575940614357731,central,unknown
720575940623368940,central,Kenyon_Cell
720575940624745203,central,unknown
720575940630053632,central,LHLN
720575940617044737,central,unknown
720575940626449154,central,ALPN
720575940608623371,central,unknown
720575940624941838,central,Kenyon_Cell
720575940631036687,central,Kenyon_Cell
720575940626907923,sensory,olfactory
720575940633953049,central,LHLN
720575940618027803,central,unknown
720575940632347423,central,Kenyon_Cell
720575940621533985,central,ALPN
720575940624450342,central,ALLN
720575940616913705,sensory,olfactory
720575940629955372,central,unknown
720575940629398316,central,LHLN
720575940616094523,central,unknown
720575940625793854,central,unknown
720575940631167811,central,Kenyon_Cell
720575940629300043,central,Kenyon_Cell
720575940619305808,central,Kenyon_Cell
720575940632281937,central,unknown
720575940630840147,central,unknown
720575940614816598,central,Kenyon_Cell
720575940630512471,central,Kenyon_Cell
720575940620157787,central,unknown
720575940607869788,sensory,olfactory
720575940634706789,central,Kenyon_Cell
720575940605608806,sensory,olfactory
720575940603773798,central,Kenyon_Cell
720575940632707944,visual_projection,unknown
720575940634903403,central,ALPN
720575940629103468,central,unknown
720575940619928429,central,ALPN
720575940644766574,central,unknown
720575940644733806,central,unknown
720575940620551021,central,unknown
720575940612653937,central,ALPN
720575940629693302,sensory,hygrosensory
720575940629955446,central,Kenyon_Cell
720575940629594998,central,unknown
720575940622058364,central,unknown
720575940622779263,central,unknown
720575940638704512,central,unknown
720575940646372228,sensory,thermosensory
720575940622189448,central,unknown
720575940626580361,sensory,hygrosensory
720575940625433488,central,LHLN
720575940614325138,sensory,olfactory
720575940614652818,central,Kenyon_Cell
720575940621763475,central,Kenyon_Cell
720575940617175965,central,ALLN
720575940618978206,central,unknown
720575940616913822,central,Kenyon_Cell
720575940653351841,central,Kenyon_Cell
720575940620223398,central,Kenyon_Cell
720575940625957800,central,Kenyon_Cell
720575940620714921,sensory,olfactory
720575940613211055,central,LHLN
720575940621009840,central,unknown
720575940634575796,central,unknown
720575940623205303,central,Kenyon_Cell
720575940620551105,central,unknown
720575940631659461,visual_centrifugal,unknown
720575940620846027,central,unknown
720575940617470932,central,unknown
720575940606624725,central,unknown
720575940614390755,central,unknown
720575940638770148,central,unknown
720575940611867629,central,unknown
720575940653581302,central,unknown
720575940628644855,central,Kenyon_Cell
720575940631692283,central,unknown
720575940625564676,central,ALPN
720575940625630212,central,ALLN
720575940623041549,central,unknown
720575940612785174,central,unknown
720575940624155672,central,unknown
720575940633691161,central,Kenyon_Cell
720575940617307165,central,unknown
720575940630971434,sensory,olfactory
720575940630086698,central,unknown
720575940624483376,central,unknown
720575940614128691,central,unknown
720575940630807619,sensory,olfactory
720575940618224709,central,Kenyon_Cell
720575940638639174,central,unknown
720575940632118343,central,MBON
720575940630578247,central,Kenyon_Cell
720575940619863125,central,LHCENT
720575940620551259,central,ALPN
720575940634215525,central,unknown
720575940605641830,central,unknown
720575940603446374,central,ALPN
720575940635919471,central,LHLN
720575940621370484,central,unknown
720575940618552443,central,ALLN
720575940622779519,central,unknown
720575940622288008,sensory,olfactory
720575940623139976,central,unknown
720575940623991956,central,unknown
720575940629005467,central,unknown
720575940635362460,central,unknown
720575940615406751,central,ALPN
720575940642669728,sensory,olfactory
720575940654924961,central,LHLN
720575940620813478,central,Kenyon_Cell
720575940627498152,central,unknown
720575940607280306,central,Kenyon_Cell
720575940621763767,central,Kenyon_Cell
720575940614522043,central,Kenyon_Cell
720575940623041732,central,unknown
720575940643882184,central,LHCENT
720575940622353622,central,Kenyon_Cell
720575940611376346,central,unknown
720575940611835098,central,LHLN
720575940614587615,central,unknown
720575940632315106,sensory,olfactory
720575940637590756,central,unknown
720575940622550251,sensory,olfactory
720575940624680172,central,LHLN
720575940623041772,central,Kenyon_Cell
720575940611966194,sensory,olfactory
720575940623729907,sensory,olfactory
720575940631135488,central,unknown
720575940627629315,sensory,olfactory
720575940628251907,central,ALLN
720575940627825923,descending,unknown
720575940625007879,central,unknown
720575940615800076,central,Kenyon_Cell
720575940626941205,central,Kenyon_Cell
720575940627367189,central,Kenyon_Cell
720575940622517530,sensory,olfactory
720575940622091546,central,LHLN
720575940631758111,central,LHLN
720575940632544543,central,unknown
720575940620191009,central,unknown
720575940644472100,central,Kenyon_Cell
720575940623271206,central,unknown
720575940611736872,central,unknown
720575940628251947,sensory,olfactory
720575940638475573,sensory,olfactory
720575940631201079,central,Kenyon_Cell
